request_id,target_company_raw,target_company_canonical_key,declared_path_found_flag,declared_status,derived_state,routed,connector_asked,deal_value_usd,urgency,n_paths_time_aware,n_paths_snapshot,n_connectors_time_aware,n_connectors_snapshot,time_aware_via_export,time_aware_via_investor,snapshot_only_investor_paths,time_aware_same_title_family,connectors_time_aware,used_connector_was_observable,used_connector_was_only_observable_path,alternatives_to_used_connector
R1078,Cobalt Lane Capital Markets,cobaltlanecapitalmarkets,Path found,Intro sent,meeting_booked,True,Tomás Beckett,2000000,Medium,2,3,2,3,2,0,1,0,Priya Raghunathan; Tomás Beckett,True,False,1
R1079,Cobalt Lane,cobaltlane,Path found,Closed - no path,declared_only:Closed - no path,False,,150000,Medium,0,0,0,0,0,0,0,0,,False,False,0
R1080,Volney Industrial Systems,volneyindustrialsystems,Unknown,Open,declared_only:Open,False,,750000,High,0,4,0,4,0,0,4,0,,False,False,0
R1081,Sablefield Motors,sablefieldmotors,No path found,Open,declared_only:Open,False,,80000,Low,0,0,0,0,0,0,0,0,,False,False,0
R1082,,,Path found,Stalled,connector_responded_no_intro_recorded,True,Priya Raghunathan,400000,Medium,0,0,0,0,0,0,0,0,,False,False,0
R1083,,,Unknown,Open,declared_only:Open,False,,750000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1084,Hollowbrook Grocers,hollowbrookgrocers,Path found,Open,declared_only:Open,False,,2000000,Critical,2,5,2,4,2,0,3,0,Dana Whitfield; Priya Raghunathan,False,False,2
R1085,,,Path found,Open,asked_awaiting_connector_response,True,Tomás Beckett,80000,Medium,0,0,0,0,0,0,0,0,,False,False,0
R1086,Ironvale Steel,ironvalesteel,,Open,asked_awaiting_connector_response,True,Priya Raghunathan,150000,Critical,3,7,3,5,2,1,2,0,Marcus Aldridge; Priya Raghunathan; Tomás Ferreira,True,False,2
R1087,Silverbrook,silverbrook,,Routed,declared_only:Routed,False,,400000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1088,Thornbury,thornbury,Unknown,Closed - no path,declared_only:Closed - no path,False,,400000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1089,Ironvale Steel,ironvalesteel,Path found,Closed - no path,declared_only:Closed - no path,False,,400000,High,3,7,3,5,2,1,2,0,Marcus Aldridge; Priya Raghunathan; Tomás Ferreira,False,False,3
R1090,Harrowgate Health,harrowgatehealth,,Closed - no path,asked_awaiting_connector_response,True,Tomás Beckett,400000,Medium,7,8,6,7,5,2,0,0,Amara Thackeray; Dana Whitfield; Ingrid Marchetti; Marcus Aldridge; Owen Trask; Priya Raghunathan,False,False,6
R1091,Blackwood Industrial,blackwoodindustrial,Unknown,Stalled,intro_sent,True,Elena Duvall,150000,High,4,7,4,6,3,1,1,0,Elena Duvall; Marcus Højgaard; Owen Trask; Tomás Beckett,True,False,3
R1092,Priorwood Chemicals,priorwoodchemicals,,Stalled,declared_only:Stalled,False,,750000,Critical,6,7,5,6,4,2,1,0,Curtis Marchetti; Elena Duvall; Marcus Aldridge; Margot Havercamp; Tomás Beckett,False,False,5
R1093,Strathmore Rail,strathmorerail,,Closed - no path,asked_awaiting_connector_response,True,Marcus Aldridge,1200000,Critical,9,10,6,7,6,3,1,0,Bertrand Lomsadze; Elena Duvall; Marcus Aldridge; Tomás Beckett; Tomás Dobrescu; Yusuf Vasquez,True,False,5
R1094,Strathmore Rail,strathmorerail,Path found,Open,asked_awaiting_connector_response,True,Marcus Aldridge,750000,High,9,10,6,7,6,3,1,0,Bertrand Lomsadze; Elena Duvall; Marcus Aldridge; Tomás Beckett; Tomás Dobrescu; Yusuf Vasquez,True,False,5
R1095,,,Path found,Open,asked_awaiting_connector_response,True,Marcus Aldridge,750000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1096,Silverbrook,silverbrook,,Open,declared_only:Open,False,,750000,High,0,0,0,0,0,0,0,0,,False,False,0
R1097,Pemberton Retail,pembertonretail,,Intro sent,declared_only:Intro sent,False,,400000,Low,0,0,0,0,0,0,0,0,,False,False,0
R1098,Priorwood Chemicals,priorwoodchemicals,Unknown,Open,connector_responded_no_intro_recorded,True,Tomás Beckett,150000,Medium,6,7,5,6,4,2,1,0,Curtis Marchetti; Elena Duvall; Marcus Aldridge; Margot Havercamp; Tomás Beckett,True,False,4
R1099,Aldergate Telecom,aldergatetelecom,,Open,declared_only:Open,False,,400000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1100,Northwind Freight,northwindfreight,,Closed - no path,declared_only:Closed - no path,False,,750000,High,0,0,0,0,0,0,0,0,,False,False,0
R1101,Calderon Aerospace,calderonaerospace,,Open,meeting_booked,True,Priya Raghunathan,80000,High,3,4,3,4,3,0,0,0,Elena Duvall; Marcus Aldridge; Owen Trask,False,False,3
R1102,Strathmore Rail,strathmorerail,Path found,Routed,connector_responded_no_intro_recorded,True,Marcus Aldridge,400000,Low,9,10,6,7,6,3,1,2,Bertrand Lomsadze; Elena Duvall; Marcus Aldridge; Tomás Beckett; Tomás Dobrescu; Yusuf Vasquez,True,False,5
R1103,,,No path found,Intro sent,declared_only:Intro sent,False,,250000,High,0,0,0,0,0,0,0,0,,False,False,0
R1104,Ellerby Semiconductor,ellerbysemiconductor,,Open,connector_responded_no_intro_recorded,True,Tomás Beckett,2000000,Medium,3,7,3,7,2,1,4,0,Dana Whitfield; Sunniva Højgaard; Tomás Beckett,True,False,2
R1105,Thornbury Financial,thornburyfinancial,Unknown,Open,declared_only:Open,False,,2000000,High,0,0,0,0,0,0,0,0,,False,False,0
R1106,,,,Stalled,declared_only:Stalled,False,,80000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1107,Vireo Systems,vireosystems,Path found,Intro sent,connector_responded_no_intro_recorded,True,Elena Duvall,750000,High,1,4,1,4,1,0,2,1,Marcus Aldridge,False,False,1
R1108,Gravenhurst Motors,gravenhurstmotors,No path found,Stalled,connector_responded_no_intro_recorded,True,Hana Nakashima,250000,Critical,3,5,3,4,2,1,2,0,Elena Duvall; Priya Fairweather; Priya Raghunathan,False,False,3
R1109,Ravensmoor Defense,ravensmoordefense,No path found,Closed - no path,volunteered_no_recorded_followup,False,,150000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1110,,,,Stalled,connector_responded_no_intro_recorded,True,Marcus Aldridge,250000,High,0,0,0,0,0,0,0,0,,False,False,0
R1111,Vantage Ridge Utilities,vantageridgeutilities,Unknown,Intro sent,declared_only:Intro sent,False,,1200000,Medium,2,3,2,3,2,0,1,0,Marcus Aldridge; Tomás Beckett,False,False,2
R1112,,,,Closed - no path,declared_only:Closed - no path,False,,80000,High,0,0,0,0,0,0,0,0,,False,False,0
R1113,Kingsmere Retail Group,kingsmereretail,Path found,Open,connector_responded_no_intro_recorded,True,Dana Whitfield,150000,Medium,5,5,5,5,4,1,0,0,Dana Whitfield; Kofi Mkhize; Owen Trask; Priya Raghunathan; Tomás Beckett,True,False,4
R1114,Marchford Clinics,marchfordclinics,,Stalled,connector_responded_no_intro_recorded,True,Marcus Aldridge,2000000,Medium,3,3,3,3,3,0,0,0,Marcus Aldridge; Owen Trask; Priya Raghunathan,True,False,2
R1115,Gravenhurst Motors,gravenhurstmotors,No path found,Intro sent,volunteered_no_recorded_followup,False,,2000000,High,3,5,3,4,2,1,2,0,Elena Duvall; Priya Fairweather; Priya Raghunathan,False,False,3
R1116,,,,Open,declared_only:Open,False,,2000000,Medium,0,0,0,0,0,0,0,0,,False,False,0
R1117,Sablefield Motors,sablefieldmotors,No path found,Open,declared_only:Open,False,,250000,Low,0,0,0,0,0,0,0,0,,False,False,0
R1118,Priorwood Chemicals,priorwoodchemicals,,Open,connector_responded_no_intro_recorded,True,Tomás Beckett,1200000,Critical,6,7,5,6,4,2,1,0,Curtis Marchetti; Elena Duvall; Marcus Aldridge; Margot Havercamp; Tomás Beckett,True,False,4
R1119,,,Unknown,Open,declared_only:Open,False,,150000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1120,Duncastle Hotels,duncastlehotels,,Stalled,asked_awaiting_connector_response,True,Priya Raghunathan,80000,High,0,5,0,5,0,0,5,0,,False,False,0
R1121,,,Unknown,Stalled,intro_sent,True,Marcus Aldridge,80000,Medium,0,0,0,0,0,0,0,0,,False,False,0
R1122,Gravenhurst Motors,gravenhurstmotors,No path found,Intro sent,meeting_booked,True,Curtis Hartigan,1200000,Low,3,5,3,4,2,1,2,0,Elena Duvall; Priya Fairweather; Priya Raghunathan,False,False,3
R1123,Brightmoor Energy,brightmoorenergy,Unknown,Routed,intro_sent,True,Elena Duvall,2000000,High,2,2,2,2,1,1,0,0,Elena Duvall; Idris Drummond,True,False,1
R1124,Hollowbrook Grocers,hollowbrookgrocers,No path found,Open,asked_awaiting_connector_response,True,Priya Raghunathan,1200000,High,2,5,2,4,2,0,3,0,Dana Whitfield; Priya Raghunathan,True,False,1
R1125,Strathmore Rail,strathmorerail,Path found,Open,declared_only:Open,False,,400000,High,9,10,6,7,6,3,1,0,Bertrand Lomsadze; Elena Duvall; Marcus Aldridge; Tomás Beckett; Tomás Dobrescu; Yusuf Vasquez,False,False,6
R1126,Cobalt Lane,cobaltlane,,Open,declared_only:Open,False,,750000,High,0,0,0,0,0,0,0,0,,False,False,0
R1127,Halcyon Grid,halcyongrid,No path found,Open,declared_only:Open,False,,750000,High,0,0,0,0,0,0,0,0,,False,False,0
R1128,Kingsmere Retail Group,kingsmereretail,Unknown,Routed,declared_only:Routed,False,,80000,Critical,5,5,5,5,4,1,0,0,Dana Whitfield; Kofi Mkhize; Owen Trask; Priya Raghunathan; Tomás Beckett,False,False,5
R1129,,,Unknown,Routed,opportunity_created,True,Marcus Aldridge,1200000,Critical,0,0,0,0,0,0,0,0,,False,False,0
R1130,Blackwood Industrial,blackwoodindustrial,No path found,Stalled,connector_responded_no_intro_recorded,True,Tomás Beckett,80000,Low,4,7,4,6,3,1,1,2,Elena Duvall; Marcus Højgaard; Owen Trask; Tomás Beckett,True,False,3
R1131,,,,Stalled,asked_awaiting_connector_response,True,Elena Duvall,1200000,Low,0,0,0,0,0,0,0,0,,False,False,0
R1132,Strathmore Rail,strathmorerail,,Routed,declared_only:Routed,False,,150000,High,9,10,6,7,6,3,1,0,Bertrand Lomsadze; Elena Duvall; Marcus Aldridge; Tomás Beckett; Tomás Dobrescu; Yusuf Vasquez,False,False,6
R1133,Marrow Point Airways,marrowpointairways,,Open,declared_only:Open,False,,1200000,Low,0,0,0,0,0,0,0,0,,False,False,0
R1134,,,Path found,Open,declared_only:Open,False,,1200000,High,0,0,0,0,0,0,0,0,,False,False,0
R1135,,,Unknown,Open,connector_responded_no_intro_recorded,True,Priya Raghunathan,750000,High,0,0,0,0,0,0,0,0,,False,False,0
R1136,Harrowgate Health,harrowgatehealth,No path found,Open,volunteered_no_recorded_followup,False,,1200000,Low,7,8,6,7,5,2,0,0,Amara Thackeray; Dana Whitfield; Ingrid Marchetti; Marcus Aldridge; Owen Trask; Priya Raghunathan,False,False,6
R1137,Harrowgate Health,harrowgatehealth,Path found,Open,asked_awaiting_connector_response,True,Tomás Beckett,250000,High,7,8,6,7,5,2,0,0,Amara Thackeray; Dana Whitfield; Ingrid Marchetti; Marcus Aldridge; Owen Trask; Priya Raghunathan,False,False,6
R1138,Sablefield Motors,sablefieldmotors,,Open,declared_only:Open,False,,80000,High,0,0,0,0,0,0,0,0,,False,False,0
R1139,Brightmoor Energy,brightmoorenergy,Path found,Closed - no path,declared_only:Closed - no path,False,,1200000,Critical,2,2,2,2,1,1,0,0,Elena Duvall; Idris Drummond,False,False,2
R1140,Harrowgate Health,harrowgatehealth,Path found,Open,intro_sent,True,Tomás Beckett,80000,Low,7,8,6,7,5,2,0,0,Amara Thackeray; Dana Whitfield; Ingrid Marchetti; Marcus Aldridge; Owen Trask; Priya Raghunathan,False,False,6
R1141,Ironvale Steel,ironvalesteel,Path found,Intro sent,intro_sent,True,Priya Raghunathan,400000,High,3,7,3,5,2,1,2,0,Marcus Aldridge; Priya Raghunathan; Tomás Ferreira,True,False,2
R1142,Marchford Clinics,marchfordclinics,,Stalled,declared_only:Stalled,False,,2000000,Low,3,3,3,3,3,0,0,0,Marcus Aldridge; Owen Trask; Priya Raghunathan,False,False,3
R1143,Gravenhurst Motors,gravenhurstmotors,Path found,Routed,declared_only:Routed,False,,150000,Low,3,5,3,4,2,1,2,0,Elena Duvall; Priya Fairweather; Priya Raghunathan,False,False,3
R1144,Cindermill Mining,cindermillmining,Unknown,Open,declared_only:Open,False,,400000,Critical,7,8,5,6,6,1,1,0,Bertrand Glückstein; Elena Duvall; Marcus Aldridge; Owen Trask; Tomás Beckett,False,False,5
R1145,,,,Stalled,declared_only:Stalled,False,,80000,High,0,0,0,0,0,0,0,0,,False,False,0
R1146,,,Unknown,Intro sent,declared_only:Intro sent,False,,1200000,High,0,0,0,0,0,0,0,0,,False,False,0
R1147,Kingsmere Retail Group,kingsmereretail,Unknown,Closed - no path,asked_awaiting_connector_response,True,Dana Whitfield,1200000,Medium,5,5,5,5,4,1,0,0,Dana Whitfield; Kofi Mkhize; Owen Trask; Priya Raghunathan; Tomás Beckett,True,False,4
R1148,Thistledown Energy,thistledownenergy,No path found,Intro sent,declared_only:Intro sent,False,,150000,High,0,0,0,0,0,0,0,0,,False,False,0
R1149,Gravenhurst Motors,gravenhurstmotors,Path found,Routed,opportunity_created,True,Priya Raghunathan,80000,Critical,3,5,3,4,2,1,2,0,Elena Duvall; Priya Fairweather; Priya Raghunathan,True,False,2
R1150,Priorwood Chemicals,priorwoodchemicals,Path found,Stalled,opportunity_created,True,Tomás Beckett,750000,High,6,7,5,6,4,2,1,0,Curtis Marchetti; Elena Duvall; Marcus Aldridge; Margot Havercamp; Tomás Beckett,True,False,4
R1151,Copperline Water,copperlinewater,,Closed - no path,declared_only:Closed - no path,False,,250000,High,0,0,0,0,0,0,0,0,,False,False,0
R1152,Thistledown Energy,thistledownenergy,No path found,Routed,declared_only:Routed,False,,400000,High,0,0,0,0,0,0,0,0,,False,False,0
R1153,Harrowgate Health,harrowgatehealth,Unknown,Stalled,declared_only:Stalled,False,,750000,Critical,7,8,6,7,5,2,0,2,Amara Thackeray; Dana Whitfield; Ingrid Marchetti; Marcus Aldridge; Owen Trask; Priya Raghunathan,False,False,6
