request_id,requested_by,requester_role,request_date,target_company_raw,target_company_canonical_key,target_account_match_tier,crm_account_id,crm_account_name,crm_domain_group,crm_competing_candidates,domain_hints,target_person_raw,target_person_match_tier,target_title_raw,target_title_family,deal_value_usd,urgency,declared_status,declared_path_found_flag,connector_asked,routed,asked_date,connector_responded,response_date,intro_sent,intro_date,meeting_booked,opportunity_created,derived_state,state_evidence_rank,state_evidence,state_confidence,has_terminal_evidence,owner_known,next_action_known,slack_thread_present,slack_message_count,slack_reply_count,slack_intents,slack_volunteer_offer,slack_referral_suggestion,slack_bump,slack_duplicate_query,slack_explicit_state_statement,first_reply_date,first_substantive_reply_date,last_observed_activity,days_since_activity,inactivity_bucket,potentially_stale
R1011,Rafael Salcedo,"AE, Transport & Logistics",2025-08-29,Thornbury,thornbury,E_unmatched,,,,,,,T6_unmatched,Head of Platform Engineering,platform,400000,High,Open,Unknown,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,4,3,blocker_note; no_knowledge; unclassified,False,False,False,False,False,2025-08-29,,2025-09-02,342,30d+,True
R1012,Nadia Okonkwo,"AE, Industrials",2026-03-25,,,E_unmatched,,,,,,Ilse Oyelaran-Zettergren,T6_unmatched,Head of Developer Productivity,devprod,750000,Low,Open,Path found,Elena Duvall,True,2026-03-31,N,,N,,N,N,asked_awaiting_connector_response,1_outcome_event,"intro_outcomes row: connector asked, responded=N",medium,False,True,False,True,4,3,qualification_question; unclassified,False,False,False,False,False,2026-03-26,,2026-03-31,132,30d+,True
R1013,Nadia Okonkwo,"AE, Industrials",2026-05-10,Nortonbury Logistics,nortonburylogistics,B_probable_name_exact,A1039,Nortonbury Logistics,,,,,T6_unmatched,Chief Operating Officer,coo,80000,Low,Open,,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,3,2,no_knowledge; possible_duplicate_query; unclassified,False,False,False,True,False,2026-05-12,,2026-05-13,89,30d+,True
R1014,Yusuf Petrossian,SDR Lead,2026-02-18,Northwind Freight,northwindfreight,B_probable_name_exact,A1003,Northwind Freight,,,,,T6_unmatched,Chief Operating Officer,coo,150000,High,Closed - no path,No path found,,False,,,,,,,,declared_only:Closed - no path,3_declared_status_only,intro_requests.status='Closed - no path' with no corroborating event evidence,low,False,False,False,True,2,1,blocker_note; unclassified,False,False,False,False,False,2026-02-22,,2026-02-22,169,30d+,True
R1015,Yusuf Petrossian,SDR Lead,2026-06-23,Cindermill Mining,cindermillmining,C_similar_but_distinct,,,,A1025:Cindermill Holdings(74.1),,,T6_unmatched,Chief Information Officer,cio,80000,High,Stalled,Path found,Owen Trask,True,2026-06-26,N,,N,,N,N,asked_awaiting_connector_response,1_outcome_event,"intro_outcomes row: connector asked, responded=N",medium,False,True,False,True,4,3,blocker_note; bump; possible_duplicate_query; unclassified,False,False,True,True,False,2026-06-26,,2026-06-27,44,30d+,True
R1016,Curtis Hartigan,"AE, Financial Services",2026-03-30,Nortonbury Logistics,nortonburylogistics,B_probable_name_exact,A1039,Nortonbury Logistics,,,,,T6_unmatched,Chief Operating Officer,coo,1200000,High,Intro sent,,,False,,,,,,,,declared_only:Intro sent,3_declared_status_only,intro_requests.status='Intro sent' with no corroborating event evidence,low,False,False,False,True,3,2,possible_duplicate_query; qualification_question; unclassified,False,False,False,True,False,2026-03-30,,2026-03-30,133,30d+,True
R1017,Nadia Okonkwo,"AE, Industrials",2025-11-06,Vireo Systems,vireosystems,E_unmatched,,,,,,Otto Ashdown-Fairweather,T5_fuzzy_candidate_review,Head of Developer Productivity,devprod,250000,Medium,Closed - no path,Unknown,,False,,,,,,,,declared_only:Closed - no path,3_declared_status_only,intro_requests.status='Closed - no path' with no corroborating event evidence,low,False,False,False,True,4,3,qualification_question; referral_suggestion; unclassified,False,True,False,False,False,2025-11-07,2025-11-07,2025-11-10,273,30d+,True
R1018,Yusuf Petrossian,SDR Lead,2026-05-31,Wrenfield Robotics,wrenfieldrobotics,B_probable_name_exact,A1036,WRENFIELDROBOTICS,,,,,T6_unmatched,Chief Technology Officer,cto,1200000,High,Open,Unknown,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,2,1,possible_duplicate_query; unclassified,False,False,False,True,False,2026-06-03,,2026-06-03,68,30d+,True
R1019,Nadia Okonkwo,"AE, Industrials",2026-01-01,Northwind Freight,northwindfreight,B_probable_name_exact,A1003,Northwind Freight,,,,,T6_unmatched,Chief Data Officer,cdo_data,400000,High,Open,,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,1,0,unclassified,False,False,False,False,False,,,2026-01-01,221,30d+,True
R1020,Bertrand Vandermolen,"AE, EMEA",2025-11-01,,,E_unmatched,,,,,,Rafael Kirkbride-Ibarra,T6_unmatched,Chief Information Officer,cio,750000,Low,Intro sent,Path found,Tomás Beckett,True,2025-11-05,Y,2025-11-06,Y,2025-11-15,N,N,intro_sent,1_outcome_event,intro_outcomes row: intro_sent=Y,high,True,True,True,True,1,0,unclassified,False,False,False,False,False,,,2025-11-15,268,30d+,False
R1021,Imani Mkhize,"Enterprise AE, West",2025-10-29,Larchmont Aerospace,larchmontaerospace,B_probable_name_exact,A1042,Larchmont Aerospace,,,,,T6_unmatched,VP Data & Analytics,cdo_data,1200000,Medium,Intro sent,,,False,,,,,,,,declared_only:Intro sent,3_declared_status_only,intro_requests.status='Intro sent' with no corroborating event evidence,low,False,False,False,True,3,2,blocker_note; possible_duplicate_query; unclassified,False,False,False,True,False,2025-10-29,,2025-11-02,281,30d+,True
R1022,Nadia Okonkwo,"AE, Industrials",2026-06-11,Blackwood Industrial,blackwoodindustrial,C_similar_but_distinct,,,,A1010:Blackwood Holdings(62.1),,,T6_unmatched,Director of Software Engineering,cto,1200000,High,Open,Unknown,Elena Duvall,True,2026-06-16,Y,2026-06-18,Y,2026-06-20,N,N,intro_sent,1_outcome_event,intro_outcomes row: intro_sent=Y,high,True,True,True,True,2,1,bump; possible_duplicate_query,False,False,True,True,False,2026-06-14,,2026-06-20,51,30d+,False
R1023,Bertrand Vandermolen,"AE, EMEA",2025-10-21,Thistledown Energy,thistledownenergy,B_probable_name_exact,A1046,Thistledown Energy,,,,,T6_unmatched,Chief Operating Officer,coo,400000,Low,Routed,,,False,,,,,,,,declared_only:Routed,3_declared_status_only,intro_requests.status='Routed' with no corroborating event evidence,low,False,False,False,True,1,0,bump,False,False,True,False,False,,,2025-10-21,293,30d+,True
R1024,Curtis Hartigan,"AE, Financial Services",2026-07-04,Apex Logistics,apexlogistics,B_probable_shared_domain_group,,,DG_apexlogistics.com,"A91001:Apex Logistics, Inc.; A1001:Apex Logistics",,,T6_unmatched,Director of Software Engineering,cto,2000000,High,Routed,Path found,,False,,,,,,,,declared_only:Routed,3_declared_status_only,intro_requests.status='Routed' with no corroborating event evidence,low,False,False,False,True,4,3,blocker_note; possible_duplicate_query; referral_suggestion; unclassified,False,True,False,True,False,2026-07-06,2026-07-08,2026-07-08,33,30d+,True
R1025,Sloane Fairweather,Strategic AE,2026-02-25,Glasspoint Health,glasspointhealth,B_probable_name_exact,A1017,Glasspoint Health,,,,Mei Mkhize-Prendergast,T6_unmatched,Chief Information Officer,cio,1200000,Medium,Open,Unknown,Elena Duvall,True,2026-02-28,Y,2026-03-07,N,,N,N,connector_responded_no_intro_recorded,1_outcome_event,"intro_outcomes row: responded=Y, intro_sent=N",medium,False,True,False,True,4,3,blocker_note; referral_suggestion; unclassified,False,True,False,False,False,2026-02-25,2026-02-25,2026-03-07,156,30d+,True
R1026,Imani Mkhize,"Enterprise AE, West",2025-12-12,Tessellate Payments,tessellatepayments,B_probable_name_exact,A1037,Tessellate Payments,,,,,T6_unmatched,Chief Data Officer,cdo_data,1200000,Low,Routed,,Owen Trask,True,2025-12-15,Y,2025-12-18,N,,N,N,connector_responded_no_intro_recorded,1_outcome_event,"intro_outcomes row: responded=Y, intro_sent=N",medium,False,True,False,True,3,2,blocker_note; possible_duplicate_query; unclassified,False,False,False,True,False,2025-12-12,,2025-12-18,235,30d+,True
R1027,Hana Nakashima,"AE, Healthcare",2026-07-05,Strathmore Rail,strathmorerail,C_similar_but_distinct,,,,A1026:Strathmore Holdings(80.0),,,T6_unmatched,Chief Technology Officer,cto,400000,High,Routed,Unknown,,False,,,,,,,,declared_only:Routed,3_declared_status_only,intro_requests.status='Routed' with no corroborating event evidence,low,False,False,False,True,4,3,blocker_note; bump; referral_suggestion,False,True,True,False,False,2026-07-06,2026-07-07,2026-07-09,32,30d+,True
R1028,Yusuf Petrossian,SDR Lead,2026-07-18,,,E_unmatched,,,,,,,T6_unmatched,Chief Digital Officer,cdo_digital,2000000,Critical,Open,Unknown,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,1,0,unclassified,False,False,False,False,False,,,2026-07-18,23,14-29d,False
R1029,Rafael Salcedo,"AE, Transport & Logistics",2026-07-13,,,E_unmatched,,,,,,,T6_unmatched,VP Engineering,engineering_exec,150000,Medium,Stalled,Path found,Elena Duvall,True,2026-07-18,N,,N,,N,N,asked_awaiting_connector_response,1_outcome_event,"intro_outcomes row: connector asked, responded=N",medium,False,True,True,True,1,0,unclassified,False,False,False,False,False,,,2026-07-18,23,14-29d,False
R1030,Curtis Hartigan,"AE, Financial Services",2026-07-01,Larchmont Aerospace,larchmontaerospace,B_probable_name_exact,A1042,Larchmont Aerospace,,,,,T6_unmatched,Head of Platform Engineering,platform,80000,High,Open,No path found,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,1,0,unclassified,False,False,False,False,False,,,2026-07-01,40,30d+,True
R1031,Imani Mkhize,"Enterprise AE, West",2025-11-26,Ironvale Steel,ironvalesteel,B_probable_name_exact,A1009,Ironvale Steel,,,,,T6_unmatched,Chief Data Officer,cdo_data,80000,High,Open,Path found,Priya Raghunathan,True,2025-11-30,N,,N,,N,N,asked_awaiting_connector_response,1_outcome_event,"intro_outcomes row: connector asked, responded=N",medium,False,True,False,True,4,3,possible_duplicate_query; qualification_question; routing_challenge; unclassified,False,False,False,True,False,2025-11-28,,2025-11-30,253,30d+,True
R1032,Hana Nakashima,"AE, Healthcare",2025-09-11,Duncastle Hotels,duncastlehotels,C_similar_but_distinct,,,,A1029:Duncastle Holdings(72.0),,,T6_unmatched,VP Enterprise Architecture,,80000,Critical,Closed - no path,Path found,Priya Raghunathan,True,2025-09-17,Y,2025-09-27,Y,2025-09-30,N,N,intro_sent,1_outcome_event,intro_outcomes row: intro_sent=Y,high,True,True,True,True,4,3,blocker_note; bump; routing_challenge; unclassified,False,False,True,False,False,2025-09-11,,2025-09-30,314,30d+,False
R1033,Curtis Hartigan,"AE, Financial Services",2026-06-02,Priorwood Chemicals,priorwoodchemicals,B_probable_name_exact,A1030,Priorwood Chemicals,,,,,T6_unmatched,Head of Developer Productivity,devprod,750000,High,Closed - no path,Path found,Tomás Beckett,True,2026-06-07,Y,2026-06-11,N,,N,N,connector_responded_no_intro_recorded,1_outcome_event,"intro_outcomes row: responded=Y, intro_sent=N",medium,False,True,False,True,2,1,referral_suggestion; unclassified,False,True,False,False,False,2026-06-06,2026-06-06,2026-06-11,60,30d+,True
R1034,Sloane Fairweather,Strategic AE,2025-10-13,Sundermere Bank,sundermerebank,B_probable_name_exact,A1014,Sundermere Bank,,,,,T6_unmatched,Chief Data Officer,cdo_data,400000,High,Open,No path found,,False,,,,,,,,volunteered_no_recorded_followup,2_explicit_slack_statement,someone offered to help in Slack; no outcome row and no recorded follow-up,medium,False,False,False,True,4,3,possible_duplicate_query; referral_suggestion; unclassified; volunteer_offer,True,True,False,True,False,2025-10-13,2025-10-13,2025-10-17,297,30d+,True
R1035,Rafael Salcedo,"AE, Transport & Logistics",2025-12-23,Marrow Point Airways,marrowpointairways,E_unmatched,,,,,,,T6_unmatched,VP Engineering,engineering_exec,400000,High,Closed - no path,,,False,,,,,,,,declared_only:Closed - no path,3_declared_status_only,intro_requests.status='Closed - no path' with no corroborating event evidence,low,False,False,False,True,1,0,unclassified,False,False,False,False,False,,,2025-12-23,230,30d+,True
R1036,Curtis Hartigan,"AE, Financial Services",2026-05-19,Sablefield Motors,sablefieldmotors,B_probable_name_exact,A1005,Sablefield Motors,,,,,T6_unmatched,Chief Data Officer,cdo_data,150000,Critical,Open,,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,2,1,bump,False,False,True,False,False,2026-05-21,,2026-05-21,81,30d+,True
R1037,Hana Nakashima,"AE, Healthcare",2025-11-26,Thistledown Energy,thistledownenergy,B_probable_name_exact,A1046,Thistledown Energy,,,,,T6_unmatched,Head of Platform Engineering,platform,1200000,Low,Open,,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,1,0,unclassified,False,False,False,False,False,,,2025-11-26,257,30d+,True
R1038,Nadia Okonkwo,"AE, Industrials",2026-05-18,,,E_unmatched,,,,,,,T6_unmatched,Chief Operating Officer,coo,250000,High,Intro sent,Unknown,Elena Duvall,True,2026-05-22,Y,2026-06-02,Y,2026-06-10,Y,N,meeting_booked,1_outcome_event,intro_outcomes row: meeting_booked=Y,high,True,True,True,True,3,2,no_knowledge; possible_duplicate_query; unclassified,False,False,False,True,False,2026-05-18,,2026-06-10,61,30d+,False
R1039,Nadia Okonkwo,"AE, Industrials",2026-01-29,Ravensmoor Defense,ravensmoordefense,B_probable_name_exact,A1031,Ravensmoor Defense,,,,,T6_unmatched,Head of Developer Productivity,devprod,2000000,High,Stalled,No path found,,False,,,,,,,,declared_only:Stalled,3_declared_status_only,intro_requests.status='Stalled' with no corroborating event evidence,low,False,False,False,True,4,3,bump; no_knowledge; possible_duplicate_query,False,False,True,True,False,2026-01-31,,2026-02-01,190,30d+,True
R1040,Sloane Fairweather,Strategic AE,2026-06-29,Ironvale Steel,ironvalesteel,B_probable_name_exact,A1009,Ironvale Steel,,,,,T6_unmatched,Chief Technology Officer,cto,80000,High,Intro sent,Unknown,,False,,,,,,,,declared_only:Intro sent,3_declared_status_only,intro_requests.status='Intro sent' with no corroborating event evidence,low,False,False,False,True,4,3,no_knowledge; referral_suggestion; routing_challenge; unclassified,False,True,False,False,False,2026-06-29,2026-06-30,2026-07-01,40,30d+,True
R1041,Hana Nakashima,"AE, Healthcare",2025-12-02,Apex Logistics,apexlogistics,B_probable_shared_domain_group,,,DG_apexlogistics.com,"A91001:Apex Logistics, Inc.; A1001:Apex Logistics",,,T6_unmatched,SVP Digital,cdo_digital,750000,Medium,Open,Path found,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,3,2,bump; possible_duplicate_query; unclassified,False,False,True,True,False,2025-12-03,,2025-12-05,248,30d+,True
R1042,Imani Mkhize,"Enterprise AE, West",2026-06-01,,,E_unmatched,,,,,,,T6_unmatched,Chief Technology Officer,cto,80000,High,Stalled,Unknown,Elena Duvall,True,2026-06-05,Y,2026-06-15,Y,2026-06-17,Y,N,meeting_booked,1_outcome_event,intro_outcomes row: meeting_booked=Y,high,True,True,True,True,4,3,blocker_note; possible_duplicate_query; qualification_question; unclassified,False,False,False,True,False,2026-06-02,,2026-06-17,54,30d+,False
R1043,Yusuf Petrossian,SDR Lead,2026-03-19,Copperline Water,copperlinewater,E_unmatched,,,,,,,T6_unmatched,Chief Technology Officer,cto,150000,High,Intro sent,No path found,,False,,,,,,,,declared_only:Intro sent,3_declared_status_only,intro_requests.status='Intro sent' with no corroborating event evidence,low,False,False,False,True,3,2,no_knowledge; possible_duplicate_query; unclassified,False,False,False,True,False,2026-03-20,,2026-03-23,140,30d+,True
R1044,Imani Mkhize,"Enterprise AE, West",2026-05-03,Meridian Peak,meridianpeak,C_similar_but_distinct,,,,A1034:Meridian Holdings(76.2),,,T6_unmatched,Chief Data Officer,cdo_data,750000,High,Open,Unknown,Priya Raghunathan,True,2026-05-07,Y,2026-05-13,Y,2026-05-23,N,N,intro_sent,1_outcome_event,intro_outcomes row: intro_sent=Y,high,True,True,True,True,3,2,qualification_question; routing_challenge; unclassified,False,False,False,False,False,2026-05-07,,2026-05-23,79,30d+,False
R1045,Yusuf Petrossian,SDR Lead,2025-09-06,Marlowe Freight Systems,marlowefreightsystems,B_probable_name_exact,A1047,Marlowe Freight Systems,,,,Imani Kettleborough-Ibarra,T6_unmatched,VP Enterprise Architecture,,750000,High,Closed - no path,,Marcus Aldridge,True,2025-09-08,Y,2025-09-13,Y,2025-09-27,N,N,intro_sent,1_outcome_event,intro_outcomes row: intro_sent=Y,high,True,True,True,True,1,0,unclassified,False,False,False,False,False,,,2025-09-27,317,30d+,False
R1046,Curtis Hartigan,"AE, Financial Services",2026-06-08,,,E_unmatched,,,,,,Freya Thackeray-Underhill,T6_unmatched,Head of Developer Productivity,devprod,80000,Medium,Open,Unknown,Priya Raghunathan,True,2026-06-09,Y,2026-06-18,N,,N,N,connector_responded_no_intro_recorded,1_outcome_event,"intro_outcomes row: responded=Y, intro_sent=N",medium,False,True,False,True,1,0,unclassified,False,False,False,False,False,,,2026-06-18,53,30d+,True
R1047,Rafael Salcedo,"AE, Transport & Logistics",2025-08-17,,,E_unmatched,,,,,,,T6_unmatched,Director of Software Engineering,cto,250000,High,Stalled,,,False,,,,,,,,declared_only:Stalled,3_declared_status_only,intro_requests.status='Stalled' with no corroborating event evidence,low,False,False,False,True,3,2,blocker_note; bump; unclassified,False,False,True,False,False,2025-08-21,,2025-08-21,354,30d+,True
R1048,Bertrand Vandermolen,"AE, EMEA",2026-04-14,Bexley Bioworks,bexleybioworks,B_probable_name_exact,A1045,Bexley Bioworks,,,,,T6_unmatched,Chief Data Officer,cdo_data,750000,High,Stalled,Path found,,False,,,,,,,,declared_only:Stalled,3_declared_status_only,intro_requests.status='Stalled' with no corroborating event evidence,low,False,False,False,True,3,2,blocker_note; referral_suggestion; unclassified,False,True,False,False,False,2026-04-15,2026-04-18,2026-04-18,114,30d+,True
R1049,Nadia Okonkwo,"AE, Industrials",2025-10-07,Ravensmoor Defense,ravensmoordefense,B_probable_name_exact,A1031,Ravensmoor Defense,,,,,T6_unmatched,Chief Digital Officer,cdo_digital,750000,Critical,Open,,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,4,3,no_knowledge; referral_suggestion; routing_challenge; unclassified,False,True,False,False,False,2025-10-07,2025-10-09,2025-10-11,303,30d+,True
R1050,Curtis Hartigan,"AE, Financial Services",2025-09-05,Pemberton Retail,pembertonretail,B_probable_name_exact,A1023,Pemberton Retail,,,,,T6_unmatched,Head of Developer Productivity,devprod,400000,Medium,Open,Unknown,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,1,0,unclassified,False,False,False,False,False,,,2025-09-05,339,30d+,True
R1051,Hana Nakashima,"AE, Healthcare",2026-04-17,,,E_unmatched,,,,,,Solveig Dobrescu-Mkhize,T6_unmatched,VP Engineering,engineering_exec,2000000,High,Open,,Tomás Beckett,True,2026-04-19,N,,N,,N,N,asked_awaiting_connector_response,1_outcome_event,"intro_outcomes row: connector asked, responded=N",medium,False,True,False,True,3,2,blocker_note; possible_duplicate_query; unclassified,False,False,False,True,False,2026-04-19,,2026-04-21,111,30d+,True
R1052,Yusuf Petrossian,SDR Lead,2025-08-19,Priorwood Chemicals,priorwoodchemicals,B_probable_name_exact,A1030,Priorwood Chemicals,,,,,T6_unmatched,Head of Platform Engineering,platform,80000,Low,Open,Path found,Tomás Beckett,True,2025-08-20,N,,N,,N,N,asked_awaiting_connector_response,1_outcome_event,"intro_outcomes row: connector asked, responded=N",medium,False,True,False,True,2,1,bump,False,False,True,False,False,2025-08-21,,2025-08-21,354,30d+,True
R1053,Rafael Salcedo,"AE, Transport & Logistics",2026-06-16,Strathmore Rail,strathmorerail,C_similar_but_distinct,,,,A1026:Strathmore Holdings(80.0),,,T6_unmatched,VP Data & Analytics,cdo_data,400000,Medium,Stalled,Unknown,Marcus Aldridge,True,2026-06-22,N,,N,,N,N,asked_awaiting_connector_response,1_outcome_event,"intro_outcomes row: connector asked, responded=N",medium,False,True,False,True,1,0,bump,False,False,True,False,False,,,2026-06-22,49,30d+,True
R1054,Nadia Okonkwo,"AE, Industrials",2026-01-10,Kestrel Airlines,kestrelairlines,B_probable_name_exact,A1012,Kestrel Airlines,,,,,T6_unmatched,Chief Operating Officer,coo,1200000,Low,Routed,Unknown,,False,,,,,,,,declared_only:Routed,3_declared_status_only,intro_requests.status='Routed' with no corroborating event evidence,low,False,False,False,True,3,2,qualification_question; unclassified,False,False,False,False,False,2026-01-10,,2026-01-13,209,30d+,True
R1055,Rafael Salcedo,"AE, Transport & Logistics",2026-07-08,,,E_unmatched,,,,,vireosystems.com; vireosystems.com,Noor Isenberg-Havercamp,T6_unmatched,Chief Digital Officer,cdo_digital,1200000,Critical,Open,Unknown,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,2,1,referral_suggestion; unclassified,False,True,False,False,False,2026-07-12,2026-07-12,2026-07-12,29,14-29d,False
R1056,Sloane Fairweather,Strategic AE,2025-08-25,,,E_unmatched,,,,,,Elena Bellinger-Havercamp,T6_unmatched,VP Engineering,engineering_exec,1200000,High,Open,Unknown,,False,,,,,,,,declared_only:Open,3_declared_status_only,intro_requests.status='Open' with no corroborating event evidence,low,False,False,False,True,3,2,blocker_note; possible_duplicate_query; unclassified,False,False,False,True,False,2025-08-25,,2025-08-27,348,30d+,True
