request_id,request_date,connector,connector_type,connector_reachable,edge_type,target_entity,target_entity_title,target_entity_company,same_title_family,source_file,relationship_date,recency_days_at_request,availability,confidence,limitations
R1003,2026-03-03,Priya Raghunathan,Investor/Advisor,True,investor_portfolio,Redtree Foods,,Redtree Foods,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown.
R1003,2026-03-03,Renata Halloran-Quillane,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Redtree Foods,,Redtree Foods,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1003,2026-03-03,Niall Grimsby,Investor/Advisor (not on roster or in exports),False,investor_alumni_prior_employer,Redtree Foods,,Redtree Foods,False,investor_network.csv,2013-01-01,,time_aware_available,low,Alumni relationship inferred from prior employment (year-only dates); whether live contacts remain inside the account is unknown.
R1003,2026-03-03,Coretta Bellinger,Investor/Advisor (not on roster or in exports),False,investor_alumni_prior_employer,Redtree Foods,,Redtree Foods,False,investor_network.csv,2012-01-01,,time_aware_available,low,Alumni relationship inferred from prior employment (year-only dates); whether live contacts remain inside the account is unknown.
R1004,2026-07-06,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Kofi Jarrold,Chief Information Officer,Marchford Clinics,False,connections_aldridge.csv,2023-09-18,1022.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1004,2026-07-06,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Teodor Zubkov,Program Manager,Marchford Clinics,False,connections_raghunathan.csv,2020-12-24,2020.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1004,2026-07-06,Owen Trask,Investor,True,export_colleague_at_target_account,Teodor Zubkov,Program Manager,Marchford Clinics,False,connections_trask.csv,2020-05-24,2234.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1006,2026-06-07,Tomás Beckett,Internal,True,export_colleague_at_target_account,Kofi Mkhize,VP Engineering,Kingsmere Retail Group,True,connections_beckett.csv,2016-03-26,3725.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1006,2026-06-07,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Saoirse Quillane,VP Data & Analytics,Kingsmere Retail Group,False,connections_raghunathan.csv,2021-10-27,1684.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1006,2026-06-07,Owen Trask,Investor,True,export_colleague_at_target_account,Kofi Mkhize,VP Engineering,Kingsmere Retail Group,True,connections_trask.csv,2016-05-20,3670.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1006,2026-06-07,Dana Whitfield,Internal,True,export_colleague_at_target_account,Saoirse Quillane,VP Data & Analytics,Kingsmere Retail Group,False,connections_whitfield.csv,2023-12-11,909.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1006,2026-06-07,Kofi Mkhize,Investor/Advisor (not on roster or in exports),False,investor_alumni_prior_employer,Kingsmere Retail Group,,Kingsmere Retail Group,False,investor_network.csv,2012-01-01,,time_aware_available,low,Alumni relationship inferred from prior employment (year-only dates); whether live contacts remain inside the account is unknown.
R1008,2026-01-07,Owen Trask,Investor,True,export_colleague_at_target_account,Elena Rushworth,Head of Automation,Silverbrook Paper,False,connections_trask.csv,2019-11-27,2233.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1009,2026-04-15,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Kofi Jarrold,Chief Information Officer,Marchford Clinics,False,connections_aldridge.csv,2023-09-18,940.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1009,2026-04-15,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Teodor Zubkov,Program Manager,Marchford Clinics,False,connections_raghunathan.csv,2020-12-24,1938.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1009,2026-04-15,Owen Trask,Investor,True,export_colleague_at_target_account,Teodor Zubkov,Program Manager,Marchford Clinics,False,connections_trask.csv,2020-05-24,2152.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1013,2026-05-10,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Anouk Kirkbride,Head of Developer Productivity,Nortonbury Logistics,False,connections_aldridge.csv,2026-07-07,-58.0,post_dates_request,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1013,2026-05-10,Elena Duvall,Advisor,True,export_colleague_at_target_account,Nadia Ferreira,Program Manager,Nortonbury Logistics,False,connections_duvall.csv,2025-07-30,284.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1013,2026-05-10,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Zaid Fontaine,Chief Operating Officer,Nortonbury Logistics,True,connections_raghunathan.csv,2024-11-24,532.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1013,2026-05-10,Owen Trask,Investor,True,export_colleague_at_target_account,Anouk Kirkbride,Head of Developer Productivity,Nortonbury Logistics,False,connections_trask.csv,2026-09-17,-130.0,post_dates_request,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1013,2026-05-10,Owen Trask,Investor,True,export_colleague_at_target_account,Nadia Ferreira,Program Manager,Nortonbury Logistics,False,connections_trask.csv,2024-03-25,776.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1013,2026-05-10,Dana Whitfield,Internal,True,export_colleague_at_target_account,Zaid Fontaine,Chief Operating Officer,Nortonbury Logistics,True,connections_whitfield.csv,2026-10-19,-162.0,post_dates_request,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1013,2026-05-10,Priya Raghunathan,Investor/Advisor,True,investor_portfolio,Nortonbury Logistics,,Nortonbury Logistics,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown.
R1013,2026-05-10,Amara Brenneman-Fairweather,Investor/Advisor (not on roster or in exports),False,investor_portfolio_board_seat,Nortonbury Logistics,,Nortonbury Logistics,False,investor_network.csv,,,snapshot_only_historical_unknown,medium,Candidate path visible in supplied current snapshot; historical availability unknown. Board seat implies direct access to leadership. Connector is not on the roster and appears in no export: reachability unproven.
R1013,2026-05-10,Renata Halloran-Quillane,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Nortonbury Logistics,,Nortonbury Logistics,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1013,2026-05-10,Perrine Brenneman-Wexford,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Nortonbury Logistics,,Nortonbury Logistics,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1015,2026-06-23,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Bo Marchetti,Platform Lead,Cindermill Mining,False,connections_aldridge.csv,2019-08-23,2496.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1015,2026-06-23,Tomás Beckett,Internal,True,export_colleague_at_target_account,Bo Marchetti,Platform Lead,Cindermill Mining,False,connections_beckett.csv,2022-02-02,1602.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1015,2026-06-23,Tomás Beckett,Internal,True,export_colleague_at_target_account,Leandro Brenneman,Director of Software Engineering,Cindermill Mining,False,connections_beckett.csv,2021-08-25,1763.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1015,2026-06-23,Elena Duvall,Advisor,True,export_colleague_at_target_account,Bertrand Glückstein,Chief Data Officer,Cindermill Mining,False,connections_duvall.csv,2015-08-26,3954.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1015,2026-06-23,Owen Trask,Investor,True,export_colleague_at_target_account,Leandro Brenneman,Director of Software Engineering,Cindermill Mining,False,connections_trask.csv,2023-10-26,971.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1015,2026-06-23,Owen Trask,Investor,True,export_colleague_at_target_account,Bertrand Glückstein,Chief Data Officer,Cindermill Mining,False,connections_trask.csv,2015-05-17,4055.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1015,2026-06-23,Camille Merriweather-Balogun,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Cindermill Mining,,Cindermill Mining,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1015,2026-06-23,Bertrand Glückstein,Investor/Advisor (not on roster or in exports),False,investor_alumni_prior_employer,Cindermill Mining,,Cindermill Mining,False,investor_network.csv,2011-01-01,,time_aware_available,low,Alumni relationship inferred from prior employment (year-only dates); whether live contacts remain inside the account is unknown.
R1016,2026-03-30,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Anouk Kirkbride,Head of Developer Productivity,Nortonbury Logistics,False,connections_aldridge.csv,2026-07-07,-99.0,post_dates_request,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1016,2026-03-30,Elena Duvall,Advisor,True,export_colleague_at_target_account,Nadia Ferreira,Program Manager,Nortonbury Logistics,False,connections_duvall.csv,2025-07-30,243.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1016,2026-03-30,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Zaid Fontaine,Chief Operating Officer,Nortonbury Logistics,True,connections_raghunathan.csv,2024-11-24,491.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1016,2026-03-30,Owen Trask,Investor,True,export_colleague_at_target_account,Anouk Kirkbride,Head of Developer Productivity,Nortonbury Logistics,False,connections_trask.csv,2026-09-17,-171.0,post_dates_request,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1016,2026-03-30,Owen Trask,Investor,True,export_colleague_at_target_account,Nadia Ferreira,Program Manager,Nortonbury Logistics,False,connections_trask.csv,2024-03-25,735.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1016,2026-03-30,Dana Whitfield,Internal,True,export_colleague_at_target_account,Zaid Fontaine,Chief Operating Officer,Nortonbury Logistics,True,connections_whitfield.csv,2026-10-19,-203.0,post_dates_request,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1016,2026-03-30,Priya Raghunathan,Investor/Advisor,True,investor_portfolio,Nortonbury Logistics,,Nortonbury Logistics,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown.
R1016,2026-03-30,Amara Brenneman-Fairweather,Investor/Advisor (not on roster or in exports),False,investor_portfolio_board_seat,Nortonbury Logistics,,Nortonbury Logistics,False,investor_network.csv,,,snapshot_only_historical_unknown,medium,Candidate path visible in supplied current snapshot; historical availability unknown. Board seat implies direct access to leadership. Connector is not on the roster and appears in no export: reachability unproven.
R1016,2026-03-30,Renata Halloran-Quillane,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Nortonbury Logistics,,Nortonbury Logistics,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1016,2026-03-30,Perrine Brenneman-Wexford,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Nortonbury Logistics,,Nortonbury Logistics,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1017,2025-11-06,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Arjun Cathcart,Head of Developer Productivity,Vireo Systems,True,connections_aldridge.csv,2025-10-27,10.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1017,2025-11-06,Elena Duvall,Advisor,True,export_colleague_at_target_account,Arjun Cathcart,Head of Developer Productivity,Vireo Systems,True,connections_duvall.csv,2026-01-23,-78.0,post_dates_request,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1017,2025-11-06,Priya Raghunathan,Investor/Advisor,True,investor_portfolio_board_seat,Vireo Systems,,Vireo Systems,False,investor_network.csv,,,snapshot_only_historical_unknown,medium,Candidate path visible in supplied current snapshot; historical availability unknown. Board seat implies direct access to leadership.
R1017,2025-11-06,Amara Brenneman-Fairweather,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Vireo Systems,,Vireo Systems,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1018,2026-05-31,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Saoirse Prendergast,Head of Platform Engineering,Wrenfield Robotics,False,connections_raghunathan.csv,2014-01-26,4508.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1018,2026-05-31,Matteo Ferreira-Yarrow,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Wrenfield Robotics,,Wrenfield Robotics,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1018,2026-05-31,Saoirse Prendergast,Investor/Advisor (not on roster or in exports),False,investor_alumni_prior_employer,Wrenfield Robotics,,Wrenfield Robotics,False,investor_network.csv,2012-01-01,,time_aware_available,low,Alumni relationship inferred from prior employment (year-only dates); whether live contacts remain inside the account is unknown.
R1022,2026-06-11,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Bram Quillane,Head of Developer Productivity,Blackwood Industrial,False,connections_aldridge.csv,2026-11-10,-152.0,post_dates_request,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1022,2026-06-11,Tomás Beckett,Internal,True,export_colleague_at_target_account,Marcus Højgaard,Chief Technology Officer,Blackwood Industrial,True,connections_beckett.csv,2015-01-02,4178.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1022,2026-06-11,Elena Duvall,Advisor,True,export_colleague_at_target_account,Bram Quillane,Head of Developer Productivity,Blackwood Industrial,False,connections_duvall.csv,2028-06-16,-736.0,post_dates_request,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1022,2026-06-11,Elena Duvall,Advisor,True,export_colleague_at_target_account,Saoirse Yarrow,Head of Innovation,Blackwood Industrial,False,connections_duvall.csv,2019-02-04,2684.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1022,2026-06-11,Owen Trask,Investor,True,export_colleague_at_target_account,Marcus Højgaard,Chief Technology Officer,Blackwood Industrial,True,connections_trask.csv,2017-04-20,3339.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1022,2026-06-11,Otto Cathcart-Brenneman,Investor/Advisor (not on roster or in exports),False,investor_portfolio_board_seat,Blackwood Industrial,,Blackwood Industrial,False,investor_network.csv,,,snapshot_only_historical_unknown,medium,Candidate path visible in supplied current snapshot; historical availability unknown. Board seat implies direct access to leadership. Connector is not on the roster and appears in no export: reachability unproven.
R1022,2026-06-11,Marcus Højgaard,Investor/Advisor (not on roster or in exports),False,investor_alumni_prior_employer,Blackwood Industrial,,Blackwood Industrial,False,investor_network.csv,2014-01-01,,time_aware_available,low,Alumni relationship inferred from prior employment (year-only dates); whether live contacts remain inside the account is unknown.
R1024,2026-07-04,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Astrid Salcedo,VP Data & Analytics,Apex Logistics Group,False,connections_aldridge.csv,2023-11-25,952.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1024,2026-07-04,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Curtis Prendergast,SVP Digital,Apex Logistics,False,connections_aldridge.csv,2019-08-28,2502.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1024,2026-07-04,Elena Duvall,Advisor,True,export_colleague_at_target_account,Curtis Prendergast,SVP Digital,Apex Logistics,False,connections_duvall.csv,2022-02-04,1611.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1024,2026-07-04,Espen Rushworth-Oyelaran,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Apex Logistics Group,,Apex Logistics Group,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1025,2026-02-25,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Sunniva Oldfield,Chief Operating Officer,Glasspoint Health,False,connections_aldridge.csv,2026-09-15,-202.0,post_dates_request,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1025,2026-02-25,Elena Duvall,Advisor,True,export_colleague_at_target_account,Sunniva Oldfield,Chief Operating Officer,Glasspoint Health,False,connections_duvall.csv,2027-08-22,-543.0,post_dates_request,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1025,2026-02-25,Priya Crowther-Kirkbride,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Glasspoint Health,,Glasspoint Health,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1025,2026-02-25,Espen Rushworth-Oyelaran,Investor/Advisor (not on roster or in exports),False,investor_portfolio_board_seat,Glasspoint Health,,Glasspoint Health,False,investor_network.csv,,,snapshot_only_historical_unknown,medium,Candidate path visible in supplied current snapshot; historical availability unknown. Board seat implies direct access to leadership. Connector is not on the roster and appears in no export: reachability unproven.
R1026,2025-12-12,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Mei Dobrescu,Engineering Manager,Tessellate Payments,False,connections_raghunathan.csv,2021-04-17,1700.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1026,2025-12-12,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Ilse Mkhize,VP Data & Analytics,Tessellate Payments,True,connections_raghunathan.csv,2016-10-11,3349.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1026,2025-12-12,Owen Trask,Investor,True,export_colleague_at_target_account,Ilse Mkhize,VP Data & Analytics,Tessellate Payments,True,connections_trask.csv,2016-08-13,3408.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1026,2025-12-12,Owen Trask,Investor,True,export_colleague_at_target_account,Mei Dobrescu,Engineering Manager,Tessellate Payments,False,connections_trask.csv,2022-01-05,1437.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1026,2025-12-12,Ilse Mkhize,Investor/Advisor (not on roster or in exports),False,investor_alumni_prior_employer,Tessellate Payments,,Tessellate Payments,False,investor_network.csv,2012-01-01,,time_aware_available,low,Alumni relationship inferred from prior employment (year-only dates); whether live contacts remain inside the account is unknown.
R1027,2026-07-05,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Tomás Dobrescu,VP Engineering,Strathmore Rail,False,connections_aldridge.csv,2018-12-16,2758.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1027,2026-07-05,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Yusuf Vasquez,Director of Software Engineering,Strathmore Rail,True,connections_aldridge.csv,2015-08-28,3964.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1027,2026-07-05,Tomás Beckett,Internal,True,export_colleague_at_target_account,Tomás Dobrescu,VP Engineering,Strathmore Rail,False,connections_beckett.csv,2017-12-20,3119.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1027,2026-07-05,Tomás Beckett,Internal,True,export_colleague_at_target_account,Bertrand Lomsadze,Chief Digital Officer,Strathmore Rail,False,connections_beckett.csv,2015-09-22,3939.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1027,2026-07-05,Elena Duvall,Advisor,True,export_colleague_at_target_account,Yusuf Vasquez,Director of Software Engineering,Strathmore Rail,True,connections_duvall.csv,2015-02-06,4167.0,time_aware_available,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1027,2026-07-05,Elena Duvall,Advisor,True,export_colleague_at_target_account,Bertrand Lomsadze,Chief Digital Officer,Strathmore Rail,False,connections_duvall.csv,2017-03-25,3389.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1027,2026-07-05,Freya Oldfield-Ibarra,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Strathmore Rail,,Strathmore Rail,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
R1027,2026-07-05,Yusuf Vasquez,Investor/Advisor (not on roster or in exports),False,investor_alumni_prior_employer,Strathmore Rail,,Strathmore Rail,False,investor_network.csv,2014-01-01,,time_aware_available,low,Alumni relationship inferred from prior employment (year-only dates); whether live contacts remain inside the account is unknown.
R1027,2026-07-05,Bertrand Lomsadze,Investor/Advisor (not on roster or in exports),False,investor_alumni_prior_employer,Strathmore Rail,,Strathmore Rail,False,investor_network.csv,2013-01-01,,time_aware_available,low,Alumni relationship inferred from prior employment (year-only dates); whether live contacts remain inside the account is unknown.
R1027,2026-07-05,Tomás Dobrescu,Investor/Advisor (not on roster or in exports),False,investor_alumni_prior_employer,Strathmore Rail,,Strathmore Rail,False,investor_network.csv,2013-01-01,,time_aware_available,low,Alumni relationship inferred from prior employment (year-only dates); whether live contacts remain inside the account is unknown.
R1031,2025-11-26,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Tomás Ferreira,VP Enterprise Architecture,Ironvale Steel,False,connections_aldridge.csv,2018-11-19,2564.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1031,2025-11-26,Marcus Aldridge,Advisor,True,export_colleague_at_target_account,Tanvi Eastcott,Chief Data Officer,Ironvale Steel,True,connections_aldridge.csv,2026-07-05,-221.0,post_dates_request,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1031,2025-11-26,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Tanvi Eastcott,Chief Data Officer,Ironvale Steel,True,connections_raghunathan.csv,2027-07-04,-585.0,post_dates_request,medium,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1031,2025-11-26,Priya Raghunathan,Investor,True,export_colleague_at_target_account,Tomás Ferreira,VP Enterprise Architecture,Ironvale Steel,False,connections_raghunathan.csv,2017-06-21,3080.0,time_aware_available,low,"Connection is to a colleague at the target account, not the requested person; onward reachability inside the account is unknown."
R1031,2025-11-26,Callum Oldfield-Fairweather,Investor/Advisor (not on roster or in exports),False,investor_portfolio_board_seat,Ironvale Steel,,Ironvale Steel,False,investor_network.csv,,,snapshot_only_historical_unknown,medium,Candidate path visible in supplied current snapshot; historical availability unknown. Board seat implies direct access to leadership. Connector is not on the roster and appears in no export: reachability unproven.
R1031,2025-11-26,Matteo Falkenrath-Merriweather,Investor/Advisor (not on roster or in exports),False,investor_portfolio,Ironvale Steel,,Ironvale Steel,False,investor_network.csv,,,snapshot_only_historical_unknown,low,Candidate path visible in supplied current snapshot; historical availability unknown. Connector is not on the roster and appears in no export: reachability unproven.
