person_key,identity_basis,normalized_name,display_name,profile_urls,organizations,titles,appears_in_exports,export_rows,distinct_orgs,conflicting_affiliation,missing_profile_url
linkedin.com/in/amara-falkenrath-dobrescu-9350,profile_url,amara falkenrath dobrescu,Amara Falkenrath-Dobrescu,linkedin.com/in/amara-falkenrath-dobrescu-9350,Corbridge Realty,"Senior Manager, Engineering",Owen Trask,1,1,False,0
linkedin.com/in/amara-falkenrath-ferreira-9069,profile_url,amara falkenrath ferreira,Amara Falkenrath-Ferreira,linkedin.com/in/amara-falkenrath-ferreira-9069,Tannerly Design,VP Engineering,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-ferreira-8130,profile_url,amara ferreira,Amara Ferreira,linkedin.com/in/amara-ferreira-8130,Garrowby Books,Head of Innovation,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-ferreira-petrossian-6819,profile_url,amara ferreira petrossian,Amara Ferreira-Petrossian,linkedin.com/in/amara-ferreira-petrossian-6819,Highmoor Cycles,Head of Automation,Owen Trask,1,1,False,0
linkedin.com/in/amara-fontaine-2776,profile_url,amara fontaine,Amara Fontaine,linkedin.com/in/amara-fontaine-2776,Tannerly Design,Head of Developer Productivity,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-fontaine-eastcott-4356,profile_url,amara fontaine eastcott,Amara Fontaine-Eastcott,linkedin.com/in/amara-fontaine-eastcott-4356,Quintrell Advisory,Head of Automation,Tomás Beckett,1,1,False,0
name:amara gluckstein,name_only,amara gluckstein,Amara Glückstein,,Whitlock Staffing,Staff Engineer,Dana Whitfield,1,1,False,1
linkedin.com/in/amara-grimsby-6724,profile_url,amara grimsby,Amara Grimsby,linkedin.com/in/amara-grimsby-6724,Bellchamber Media,"Senior Manager, Engineering",Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-halloran-8971,profile_url,amara halloran,Amara Halloran,linkedin.com/in/amara-halloran-8971,Underwood & Vale,VP Enterprise Architecture,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-hartigan-8740,profile_url,amara hartigan,Amara Hartigan,linkedin.com/in/amara-hartigan-8740,Underwood & Vale,Staff Engineer,Priya Raghunathan,1,1,False,0
linkedin.com/in/amara-havercamp-3289,profile_url,amara havercamp,Amara Havercamp,linkedin.com/in/amara-havercamp-3289,Corbridge Realty,Chief Operating Officer,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-hojgaard-3508,profile_url,amara hojgaard,Amara Højgaard,linkedin.com/in/amara-hojgaard-3508,Underwood & Vale,"Senior Manager, Engineering",Priya Raghunathan,1,1,False,0
linkedin.com/in/amara-hojgaard-vasquez-5555,profile_url,amara hojgaard vasquez,Amara Højgaard-Vasquez,linkedin.com/in/amara-hojgaard-vasquez-5555,Tannerly Design,Chief Data Officer,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-ibarra-7328,profile_url,amara ibarra,Amara Ibarra,linkedin.com/in/amara-ibarra-7328,Bellchamber Media,Chief Data Officer,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-ingleby-6896,profile_url,amara ingleby,Amara Ingleby,linkedin.com/in/amara-ingleby-6896,Whitlock Staffing,Chief Technology Officer,Dana Whitfield,1,1,False,0
linkedin.com/in/amara-ingleby-lindqvist-6684,profile_url,amara ingleby lindqvist,Amara Ingleby-Lindqvist,linkedin.com/in/amara-ingleby-lindqvist-6684,Garrowby Books,Program Manager,Owen Trask,1,1,False,0
linkedin.com/in/amara-isenberg-4224,profile_url,amara isenberg,Amara Isenberg,linkedin.com/in/amara-isenberg-4224,Tannerly Design,Director of IT,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-jarrold-4484,profile_url,amara jarrold,Amara Jarrold,linkedin.com/in/amara-jarrold-4484,Fairbourne Fitness,Engineering Manager,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-kettleborough-3500,profile_url,amara kettleborough,Amara Kettleborough,linkedin.com/in/amara-kettleborough-3500,Dunmowe Travel,Product Director,Priya Raghunathan,1,1,False,0
linkedin.com/in/amara-kirkbride-8888,profile_url,amara kirkbride,Amara Kirkbride,linkedin.com/in/amara-kirkbride-8888,Ondermark Consulting,Platform Lead,Priya Raghunathan,1,1,False,0
linkedin.com/in/amara-kirkbride-ferreira-3019,profile_url,amara kirkbride ferreira,Amara Kirkbride-Ferreira,linkedin.com/in/amara-kirkbride-ferreira-3019,Dunmowe Travel,Chief Technology Officer,Owen Trask,1,1,False,0
linkedin.com/in/amara-lindqvist-4806,profile_url,amara lindqvist,Amara Lindqvist,linkedin.com/in/amara-lindqvist-4806,Quintrell Advisory,Head of Automation,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-lomsadze-1612,profile_url,amara lomsadze,Amara Lomsadze,linkedin.com/in/amara-lomsadze-1612,Whitlock Staffing,Head of Automation,Dana Whitfield,1,1,False,0
name:amara marchetti,name_only,amara marchetti,Amara Marchetti,,Underwood & Vale,Head of Platform Engineering,Priya Raghunathan,1,1,False,1
linkedin.com/in/amara-marchetti-grimsby-4454,profile_url,amara marchetti grimsby,Amara Marchetti-Grimsby,linkedin.com/in/amara-marchetti-grimsby-4454,Underwood & Vale,Engineering Manager,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-merriweather-1081,profile_url,amara merriweather,Amara Merriweather,linkedin.com/in/amara-merriweather-1081,Inglenook Bakery,Engineering Manager,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-merriweather-ingleby-3035,profile_url,amara merriweather ingleby,Amara Merriweather-Ingleby,linkedin.com/in/amara-merriweather-ingleby-3035,Dunmowe Travel,Platform Lead,Elena Duvall,1,1,False,0
linkedin.com/in/amara-mkhize-6961,profile_url,amara mkhize,Amara Mkhize,linkedin.com/in/amara-mkhize-6961,Vespermill Analytics,"Senior Manager, Engineering",Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-nakashima-6519,profile_url,amara nakashima,Amara Nakashima,linkedin.com/in/amara-nakashima-6519,Fairbourne Fitness,Chief Data Officer,Priya Raghunathan,1,1,False,0
name:amara norrington,name_only,amara norrington,Amara Norrington,,Quintrell Advisory,Head of Innovation,Dana Whitfield,1,1,False,1
linkedin.com/in/amara-norrington-oyelaran-4921,profile_url,amara norrington oyelaran,Amara Norrington-Oyelaran,linkedin.com/in/amara-norrington-oyelaran-4921,Highmoor Cycles,Head of Automation,Elena Duvall,1,1,False,0
linkedin.com/in/amara-okonkwo-2237,profile_url,amara okonkwo,Amara Okonkwo,linkedin.com/in/amara-okonkwo-2237,Fairbourne Fitness,Head of Developer Productivity,Tomás Beckett,1,1,False,0
name:amara oldfield,name_only,amara oldfield,Amara Oldfield,,Dunmowe Travel,Engineering Manager,Priya Raghunathan,1,1,False,1
linkedin.com/in/amara-oyelaran-5429,profile_url,amara oyelaran,Amara Oyelaran,linkedin.com/in/amara-oyelaran-5429,Underwood & Vale,Head of Automation,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-oyelaran-wolstenholme-7918,profile_url,amara oyelaran wolstenholme,Amara Oyelaran-Wolstenholme,linkedin.com/in/amara-oyelaran-wolstenholme-7918,Whitlock Staffing,Principal Architect,Owen Trask,1,1,False,0
linkedin.com/in/amara-petrossian-6365,profile_url,amara petrossian,Amara Petrossian,linkedin.com/in/amara-petrossian-6365,Dunmowe Travel,Chief Operating Officer,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-prendergast-6496,profile_url,amara prendergast,Amara Prendergast,linkedin.com/in/amara-prendergast-6496,Underwood & Vale,"Senior Manager, Engineering",Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-quillane-7306,profile_url,amara quillane,Amara Quillane,linkedin.com/in/amara-quillane-7306,Whitlock Staffing,Head of Automation,Priya Raghunathan,1,1,False,0
linkedin.com/in/amara-rushworth-7847,profile_url,amara rushworth,Amara Rushworth,linkedin.com/in/amara-rushworth-7847,Zenner Foods,Program Manager,Dana Whitfield,1,1,False,0
linkedin.com/in/amara-salcedo-4878,profile_url,amara salcedo,Amara Salcedo,linkedin.com/in/amara-salcedo-4878,Rooksby Legal,Chief Technology Officer,Priya Raghunathan,1,1,False,0
linkedin.com/in/amara-sandoval-8255,profile_url,amara sandoval,Amara Sandoval,linkedin.com/in/amara-sandoval-8255,Xanthe Labs,Head of Platform Engineering,Dana Whitfield,1,1,False,0
linkedin.com/in/amara-thackeray-1011,profile_url,amara thackeray,Amara Thackeray,linkedin.com/in/amara-thackeray-1011,Harrowgate Health,Chief Operating Officer,Dana Whitfield; Priya Raghunathan,2,1,False,0
linkedin.com/in/amara-underhill-6440,profile_url,amara underhill,Amara Underhill,linkedin.com/in/amara-underhill-6440,Zenner Foods,Staff Engineer,Dana Whitfield,1,1,False,0
linkedin.com/in/amara-vandermolen-5754,profile_url,amara vandermolen,Amara Vandermolen,linkedin.com/in/amara-vandermolen-5754,Zenner Foods,Director of IT,Priya Raghunathan,1,1,False,0
linkedin.com/in/amara-vasquez-9546,profile_url,amara vasquez,Amara Vasquez,linkedin.com/in/amara-vasquez-9546,Rooksby Legal,Chief Operating Officer,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-wexford-6237,profile_url,amara wexford,Amara Wexford,linkedin.com/in/amara-wexford-6237,Xanthe Labs,Director of Software Engineering,Priya Raghunathan,1,1,False,0
linkedin.com/in/amara-wolstenholme-8876,profile_url,amara wolstenholme,Amara Wolstenholme,linkedin.com/in/amara-wolstenholme-8876,Zenner Foods,Engineering Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-wolstenholme-fairweather-2080,profile_url,amara wolstenholme fairweather,Amara Wolstenholme-Fairweather,linkedin.com/in/amara-wolstenholme-fairweather-2080,Elmsworth Tutors,SVP Digital,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-yarrow-4308,profile_url,amara yarrow,Amara Yarrow,linkedin.com/in/amara-yarrow-4308,Bellchamber Media,Product Director,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-yarrow-grimsby-8531,profile_url,amara yarrow grimsby,Amara Yarrow-Grimsby,linkedin.com/in/amara-yarrow-grimsby-8531,Bellchamber Media,Chief Data Officer,Owen Trask,1,1,False,0
linkedin.com/in/amara-zettergren-2785,profile_url,amara zettergren,Amara Zettergren,linkedin.com/in/amara-zettergren-2785,Ambrose Trading,Director of IT,Marcus Aldridge,1,1,False,0
linkedin.com/in/amara-zubkov-1823,profile_url,amara zubkov,Amara Zubkov,linkedin.com/in/amara-zubkov-1823,Corbridge Realty,Product Director,Tomás Beckett,1,1,False,0
linkedin.com/in/amara-zubkov-mkhize-5951,profile_url,amara zubkov mkhize,Amara Zubkov-Mkhize,linkedin.com/in/amara-zubkov-mkhize-5951,Corbridge Realty,Head of Innovation,Owen Trask,1,1,False,0
linkedin.com/in/amara-zubkov-prendergast-6727,profile_url,amara zubkov prendergast,Amara Zubkov-Prendergast,linkedin.com/in/amara-zubkov-prendergast-6727,Rooksby Legal,Program Manager,Elena Duvall,1,1,False,0
linkedin.com/in/anouk-achterberg-6727,profile_url,anouk achterberg,Anouk Achterberg,linkedin.com/in/anouk-achterberg-6727,Yardley Print,Product Director,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-ashdown-3257,profile_url,anouk ashdown,Anouk Ashdown,linkedin.com/in/anouk-ashdown-3257,Vespermill Analytics,Staff Engineer,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-balogun-7603,profile_url,anouk balogun,Anouk Balogun,linkedin.com/in/anouk-balogun-7603,Elmsworth Tutors,Principal Architect,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-balogun-mkhize-3330,profile_url,anouk balogun mkhize,Anouk Balogun-Mkhize,linkedin.com/in/anouk-balogun-mkhize-3330,Dunmowe Travel,Principal Architect,Owen Trask,1,1,False,0
linkedin.com/in/anouk-bellinger-7556,profile_url,anouk bellinger,Anouk Bellinger,linkedin.com/in/anouk-bellinger-7556,Corbridge Realty,Chief Technology Officer,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-brenneman-9450,profile_url,anouk brenneman,Anouk Brenneman,linkedin.com/in/anouk-brenneman-9450,Corbridge Realty,Chief Technology Officer,Tomás Beckett,1,1,False,0
linkedin.com/in/anouk-cardoso-2411,profile_url,anouk cardoso,Anouk Cardoso,linkedin.com/in/anouk-cardoso-2411,Garrowby Books,Product Director,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-cathcart-1828,profile_url,anouk cathcart,Anouk Cathcart,linkedin.com/in/anouk-cathcart-1828,Inglenook Bakery,Staff Engineer,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-crowther-1246,profile_url,anouk crowther,Anouk Crowther,linkedin.com/in/anouk-crowther-1246,Dunmowe Travel,"Senior Manager, Engineering",Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-dellinger-6088,profile_url,anouk dellinger,Anouk Dellinger,linkedin.com/in/anouk-dellinger-6088,Fairbourne Fitness,Head of Innovation,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-dobrescu-2301,profile_url,anouk dobrescu,Anouk Dobrescu,linkedin.com/in/anouk-dobrescu-2301,Bellchamber Media,Engineering Manager,Tomás Beckett,1,1,False,0
linkedin.com/in/anouk-drummond-5089,profile_url,anouk drummond,Anouk Drummond,linkedin.com/in/anouk-drummond-5089,Corbridge Realty,Chief Operating Officer,Tomás Beckett,1,1,False,0
linkedin.com/in/anouk-eastcott-1720,profile_url,anouk eastcott,Anouk Eastcott,linkedin.com/in/anouk-eastcott-1720,Corbridge Realty,Engineering Manager,Priya Raghunathan,1,1,False,0
name:anouk egerton,name_only,anouk egerton,Anouk Egerton,,Xanthe Labs,Engineering Manager,Marcus Aldridge,1,1,False,1
linkedin.com/in/anouk-egerton-ashdown-2774,profile_url,anouk egerton ashdown,Anouk Egerton-Ashdown,linkedin.com/in/anouk-egerton-ashdown-2774,Highmoor Cycles,Platform Lead,Elena Duvall,1,1,False,0
linkedin.com/in/anouk-fairweather-6473,profile_url,anouk fairweather,Anouk Fairweather,linkedin.com/in/anouk-fairweather-6473,Ambrose Trading,Director of IT,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-fairweather-okonkwo-4362,profile_url,anouk fairweather okonkwo,Anouk Fairweather-Okonkwo,linkedin.com/in/anouk-fairweather-okonkwo-4362,Yardley Print,Engineering Manager,Tomás Beckett,1,1,False,0
linkedin.com/in/anouk-falkenrath-8517,profile_url,anouk falkenrath,Anouk Falkenrath,linkedin.com/in/anouk-falkenrath-8517,Ambrose Trading,Head of Innovation,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-ferreira-9222,profile_url,anouk ferreira,Anouk Ferreira,linkedin.com/in/anouk-ferreira-9222,Elmsworth Tutors,Principal Architect,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-fontaine-2562,profile_url,anouk fontaine,Anouk Fontaine,linkedin.com/in/anouk-fontaine-2562,Xanthe Labs,Principal Architect,Priya Raghunathan,1,1,False,0
linkedin.com/in/anouk-gluckstein-5626,profile_url,anouk gluckstein,Anouk Glückstein,linkedin.com/in/anouk-gluckstein-5626,Bellchamber Media,Head of Platform Engineering,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-grimsby-4890,profile_url,anouk grimsby,Anouk Grimsby,linkedin.com/in/anouk-grimsby-4890,Garrowby Books,Staff Engineer,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-halloran-2499,profile_url,anouk halloran,Anouk Halloran,linkedin.com/in/anouk-halloran-2499,Inglenook Bakery,Staff Engineer,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-halloran-egerton-3299,profile_url,anouk halloran egerton,Anouk Halloran-Egerton,linkedin.com/in/anouk-halloran-egerton-3299,Elmsworth Tutors,Program Manager,Owen Trask,1,1,False,0
linkedin.com/in/anouk-halloran-wolstenholme-3557,profile_url,anouk halloran wolstenholme,Anouk Halloran-Wolstenholme,linkedin.com/in/anouk-halloran-wolstenholme-3557,Xanthe Labs,Chief Information Officer,Owen Trask,1,1,False,0
linkedin.com/in/anouk-hartigan-6992,profile_url,anouk hartigan,Anouk Hartigan,linkedin.com/in/anouk-hartigan-6992,Dunmowe Travel,Chief Information Officer,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-hartigan-cathcart-8465,profile_url,anouk hartigan cathcart,Anouk Hartigan-Cathcart,linkedin.com/in/anouk-hartigan-cathcart-8465,Whitlock Staffing,Head of Innovation,Elena Duvall,1,1,False,0
linkedin.com/in/anouk-hartigan-hojgaard-6657,profile_url,anouk hartigan hojgaard,Anouk Hartigan-Højgaard,linkedin.com/in/anouk-hartigan-hojgaard-6657,Elmsworth Tutors,Engineering Manager,Elena Duvall,1,1,False,0
linkedin.com/in/anouk-havercamp-4310,profile_url,anouk havercamp,Anouk Havercamp,linkedin.com/in/anouk-havercamp-4310,Vespermill Analytics,Program Manager,Priya Raghunathan,1,1,False,0
linkedin.com/in/anouk-hojgaard-4914,profile_url,anouk hojgaard,Anouk Højgaard,linkedin.com/in/anouk-hojgaard-4914,Pale Harbour Studio,Director of Software Engineering,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-ibarra-1156,profile_url,anouk ibarra,Anouk Ibarra,linkedin.com/in/anouk-ibarra-1156,Pale Harbour Studio,VP Engineering,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-ingleby-4177,profile_url,anouk ingleby,Anouk Ingleby,linkedin.com/in/anouk-ingleby-4177,Fairbourne Fitness,Staff Engineer,Priya Raghunathan,1,1,False,0
linkedin.com/in/anouk-ingleby-brenneman-3429,profile_url,anouk ingleby brenneman,Anouk Ingleby-Brenneman,linkedin.com/in/anouk-ingleby-brenneman-3429,Rooksby Legal,Chief Information Officer,Tomás Beckett,1,1,False,0
linkedin.com/in/anouk-isenberg-8915,profile_url,anouk isenberg,Anouk Isenberg,linkedin.com/in/anouk-isenberg-8915,Corbridge Realty,Program Manager,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-jarrold-5786,profile_url,anouk jarrold,Anouk Jarrold,linkedin.com/in/anouk-jarrold-5786,Whitlock Staffing,Chief Information Officer,Tomás Beckett,1,1,False,0
linkedin.com/in/anouk-kettleborough-7228,profile_url,anouk kettleborough,Anouk Kettleborough,linkedin.com/in/anouk-kettleborough-7228,Pale Harbour Studio,Chief Information Officer,Priya Raghunathan,1,1,False,0
linkedin.com/in/anouk-kirkbride-4767,profile_url,anouk kirkbride,Anouk Kirkbride,linkedin.com/in/anouk-kirkbride-4767,Nortonbury Logistics,Head of Developer Productivity,Marcus Aldridge; Owen Trask,2,1,False,0
linkedin.com/in/anouk-lindqvist-6218,profile_url,anouk lindqvist,Anouk Lindqvist,linkedin.com/in/anouk-lindqvist-6218,Ambrose Trading,Head of Automation,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-lindqvist-brenneman-2326,profile_url,anouk lindqvist brenneman,Anouk Lindqvist-Brenneman,linkedin.com/in/anouk-lindqvist-brenneman-2326,Bellchamber Media,VP Enterprise Architecture,Tomás Beckett,1,1,False,0
linkedin.com/in/anouk-lomsadze-8704,profile_url,anouk lomsadze,Anouk Lomsadze,linkedin.com/in/anouk-lomsadze-8704,Inglenook Bakery,Engineering Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-marchetti-1709,profile_url,anouk marchetti,Anouk Marchetti,linkedin.com/in/anouk-marchetti-1709,Underwood & Vale,"Senior Manager, Engineering",Priya Raghunathan,1,1,False,0
linkedin.com/in/anouk-merriweather-5297,profile_url,anouk merriweather,Anouk Merriweather,linkedin.com/in/anouk-merriweather-5297,Ondermark Consulting,Head of Innovation,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-mkhize-5165,profile_url,anouk mkhize,Anouk Mkhize,linkedin.com/in/anouk-mkhize-5165,Fairbourne Fitness,Director of IT,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-mkhize-lindqvist-7102,profile_url,anouk mkhize lindqvist,Anouk Mkhize-Lindqvist,linkedin.com/in/anouk-mkhize-lindqvist-7102,Bellchamber Media,Director of IT,Elena Duvall,1,1,False,0
linkedin.com/in/anouk-nakashima-3417,profile_url,anouk nakashima,Anouk Nakashima,linkedin.com/in/anouk-nakashima-3417,Elmsworth Tutors,Program Manager,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-norrington-2398,profile_url,anouk norrington,Anouk Norrington,linkedin.com/in/anouk-norrington-2398,Zenner Foods,SVP Digital,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-norrington-grimsby-3884,profile_url,anouk norrington grimsby,Anouk Norrington-Grimsby,linkedin.com/in/anouk-norrington-grimsby-3884,Elmsworth Tutors,Principal Architect,Elena Duvall,1,1,False,0
linkedin.com/in/anouk-okonkwo-4618,profile_url,anouk okonkwo,Anouk Okonkwo,linkedin.com/in/anouk-okonkwo-4618,Fairbourne Fitness,"Senior Manager, Engineering",Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-oldfield-6816,profile_url,anouk oldfield,Anouk Oldfield,linkedin.com/in/anouk-oldfield-6816,Elmsworth Tutors,Platform Lead,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-oyelaran-2787,profile_url,anouk oyelaran,Anouk Oyelaran,linkedin.com/in/anouk-oyelaran-2787,Bellchamber Media,Chief Operating Officer,Tomás Beckett,1,1,False,0
linkedin.com/in/anouk-petrossian-8758,profile_url,anouk petrossian,Anouk Petrossian,linkedin.com/in/anouk-petrossian-8758,Corbridge Realty,SVP Digital,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-prendergast-8715,profile_url,anouk prendergast,Anouk Prendergast,linkedin.com/in/anouk-prendergast-8715,Quintrell Advisory,Program Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-quillane-9309,profile_url,anouk quillane,Anouk Quillane,linkedin.com/in/anouk-quillane-9309,Quintrell Advisory,Head of Innovation,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-rushworth-1776,profile_url,anouk rushworth,Anouk Rushworth,linkedin.com/in/anouk-rushworth-1776,Zenner Foods,Platform Lead,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-salcedo-6041,profile_url,anouk salcedo,Anouk Salcedo,linkedin.com/in/anouk-salcedo-6041,Highmoor Cycles,Chief Information Officer,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-sandoval-4443,profile_url,anouk sandoval,Anouk Sandoval,linkedin.com/in/anouk-sandoval-4443,Inglenook Bakery,"Senior Manager, Engineering",Priya Raghunathan,1,1,False,0
linkedin.com/in/anouk-sandoval-egerton-4704,profile_url,anouk sandoval egerton,Anouk Sandoval-Egerton,linkedin.com/in/anouk-sandoval-egerton-4704,Highmoor Cycles,Product Director,Owen Trask,1,1,False,0
linkedin.com/in/anouk-thackeray-4481,profile_url,anouk thackeray,Anouk Thackeray,linkedin.com/in/anouk-thackeray-4481,Highmoor Cycles,Engineering Manager,Marcus Aldridge,1,1,False,0
linkedin.com/in/anouk-thackeray-vasquez-5396,profile_url,anouk thackeray vasquez,Anouk Thackeray-Vasquez,linkedin.com/in/anouk-thackeray-vasquez-5396,Inglenook Bakery,Product Director,Owen Trask,1,1,False,0
linkedin.com/in/anouk-underhill-8001,profile_url,anouk underhill,Anouk Underhill,linkedin.com/in/anouk-underhill-8001,Ondermark Consulting,Chief Data Officer,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-vandermolen-7833,profile_url,anouk vandermolen,Anouk Vandermolen,linkedin.com/in/anouk-vandermolen-7833,Zenner Foods,Chief Technology Officer,Dana Whitfield,1,1,False,0
linkedin.com/in/anouk-vasquez-7924,profile_url,anouk vasquez,Anouk Vasquez,linkedin.com/in/anouk-vasquez-7924,Corbridge Realty,Chief Technology Officer,Priya Raghunathan,1,1,False,0
linkedin.com/in/anouk-wexford-5699,profile_url,anouk wexford,Anouk Wexford,linkedin.com/in/anouk-wexford-5699,Yardley Print,Head of Innovation,Tomás Beckett,1,1,False,0
