role,source,raw_name,normalized_name,stated_org,stated_title,mentions,example_context,match_tier,resolved_person_key,resolved_display_name,match_method,match_evidence,competing_candidates
connector_asked,intro_outcomes.connector_asked,Yusuf Petrossian,yusuf petrossian,Halyard Systems,,1,R1066,T6_unmatched,,,no_candidate,'Yusuf Petrossian' has no identity in the export universe,
investor_advisor,investor_network.person,Amara Brenneman-Fairweather,amara brenneman fairweather,Redtree Capital,Growth equity investor,4,Nortonbury Logistics,T6_unmatched,,,no_candidate,'Amara Brenneman-Fairweather' has no identity in the export universe,
investor_advisor,investor_network.person,Amara Thackeray,amara thackeray,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/amara-thackeray-1011,Amara Thackeray,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Arjun Fairweather-Brenneman,arjun fairweather brenneman,Redtree Capital,Growth equity investor,2,Falkirk Shipping,T6_unmatched,,,no_candidate,'Arjun Fairweather-Brenneman' has no identity in the export universe,
investor_advisor,investor_network.person,Bertrand Achterberg-Quillane,bertrand achterberg quillane,Ashgrove Capital,Venture capital investor,2,Volney Industrial Systems,T6_unmatched,,,no_candidate,'Bertrand Achterberg-Quillane' has no identity in the export universe,
investor_advisor,investor_network.person,Bertrand Glückstein,bertrand gluckstein,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/bertrand-gluckstein-9482,Bertrand Glückstein,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Bertrand Lomsadze,bertrand lomsadze,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/bertrand-lomsadze-5713,Bertrand Lomsadze,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Callum Oldfield-Fairweather,callum oldfield fairweather,Cobalt Lane Ventures,Venture capital investor,1,Ironvale Steel,T6_unmatched,,,no_candidate,'Callum Oldfield-Fairweather' has no identity in the export universe,
investor_advisor,investor_network.person,Camille Merriweather-Balogun,camille merriweather balogun,Silverbrook Capital,Venture capital investor,1,Cindermill Mining,T6_unmatched,,,no_candidate,'Camille Merriweather-Balogun' has no identity in the export universe,
investor_advisor,investor_network.person,Casper Bellinger,casper bellinger,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/casper-bellinger-6150,Casper Bellinger,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Coretta Bellinger,coretta bellinger,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/coretta-bellinger-7016,Coretta Bellinger,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Curtis Marchetti,curtis marchetti,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/curtis-marchetti-3117,Curtis Marchetti,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Curtis Sandoval-Glückstein,curtis sandoval gluckstein,Thornbury Equity,Private equity investor,1,Volney Industrial Systems,T6_unmatched,,,no_candidate,'Curtis Sandoval-Glückstein' has no identity in the export universe,
investor_advisor,investor_network.person,Espen Rushworth-Oyelaran,espen rushworth oyelaran,Silverbrook Capital,Venture capital investor,3,Apex Logistics Group,T6_unmatched,,,no_candidate,'Espen Rushworth-Oyelaran' has no identity in the export universe,
investor_advisor,investor_network.person,Freya Oldfield-Ibarra,freya oldfield ibarra,Ashgrove Capital,Venture capital investor,4,Ellerby Semiconductor,T6_unmatched,,,no_candidate,'Freya Oldfield-Ibarra' has no identity in the export universe,
investor_advisor,investor_network.person,Hugo Fairweather-Højgaard,hugo fairweather hojgaard,Northgate Growth,Growth equity investor,1,Yarrowdale Media,T6_unmatched,,,no_candidate,'Hugo Fairweather-Højgaard' has no identity in the export universe,
investor_advisor,investor_network.person,Idris Drummond,idris drummond,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/idris-drummond-4218,Idris Drummond,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Ilse Mkhize,ilse mkhize,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/ilse-mkhize-2035,Ilse Mkhize,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Ingrid Marchetti,ingrid marchetti,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/ingrid-marchetti-5722,Ingrid Marchetti,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Kian Merriweather,kian merriweather,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/kian-merriweather-1966,Kian Merriweather,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Kofi Mkhize,kofi mkhize,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/kofi-mkhize-4785,Kofi Mkhize,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Malik Thackeray-Okonkwo,malik thackeray okonkwo,Meridian Peak Partners,Private equity investor,2,Osric Networks,T6_unmatched,,,no_candidate,'Malik Thackeray-Okonkwo' has no identity in the export universe,
investor_advisor,investor_network.person,Marcus Højgaard,marcus hojgaard,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/marcus-hojgaard-8105,Marcus Højgaard,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Margot Havercamp,margot havercamp,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/margot-havercamp-5963,Margot Havercamp,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Matteo Falkenrath-Merriweather,matteo falkenrath merriweather,Cobalt Lane Ventures,Venture capital investor,3,Duncastle Hotels,T6_unmatched,,,no_candidate,'Matteo Falkenrath-Merriweather' has no identity in the export universe,
investor_advisor,investor_network.person,Matteo Ferreira-Yarrow,matteo ferreira yarrow,Ironvale Partners,Private equity investor,4,Quillon Pharma,T6_unmatched,,,no_candidate,'Matteo Ferreira-Yarrow' has no identity in the export universe,
investor_advisor,investor_network.person,Niall Grimsby,niall grimsby,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/niall-grimsby-2781,Niall Grimsby,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Otto Cathcart-Brenneman,otto cathcart brenneman,Ashgrove Capital,Venture capital investor,3,Priorwood Chemicals,T6_unmatched,,,no_candidate,'Otto Cathcart-Brenneman' has no identity in the export universe,
investor_advisor,investor_network.person,Otto Højgaard-Ferreira,otto hojgaard ferreira,Cobalt Lane Ventures,Venture capital investor,2,Ellerby Semiconductor,T6_unmatched,,,no_candidate,'Otto Højgaard-Ferreira' has no identity in the export universe,
investor_advisor,investor_network.person,Perrine Brenneman-Wexford,perrine brenneman wexford,Meridian Peak Partners,Private equity investor,3,Nortonbury Logistics,T6_unmatched,,,no_candidate,'Perrine Brenneman-Wexford' has no identity in the export universe,
investor_advisor,investor_network.person,Priya Crowther-Kirkbride,priya crowther kirkbride,Northgate Growth,Growth equity investor,1,Glasspoint Health,T6_unmatched,,,no_candidate,'Priya Crowther-Kirkbride' has no identity in the export universe,
investor_advisor,investor_network.person,Priya Dobrescu-Prendergast,priya dobrescu prendergast,Thornbury Equity,Private equity investor,2,Volney Industrial Systems,T6_unmatched,,,no_candidate,'Priya Dobrescu-Prendergast' has no identity in the export universe,
investor_advisor,investor_network.person,Priya Fairweather,priya fairweather,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/priya-fairweather-1682,Priya Fairweather,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Priya Raghunathan,priya raghunathan,Redtree Capital,"Partner, Redtree Capital",8,Bexley Bioworks,T6_unmatched,,,no_candidate,'Priya Raghunathan' has no identity in the export universe,
investor_advisor,investor_network.person,Ravi Underhill-Halloran,ravi underhill halloran,Blackwood Ventures,Venture capital investor,1,Vantage Ridge Utilities,T6_unmatched,,,no_candidate,'Ravi Underhill-Halloran' has no identity in the export universe,
investor_advisor,investor_network.person,Renata Halloran-Quillane,renata halloran quillane,Redtree Capital,Growth equity investor,3,Redtree Foods,T6_unmatched,,,no_candidate,'Renata Halloran-Quillane' has no identity in the export universe,
investor_advisor,investor_network.person,Saoirse Prendergast,saoirse prendergast,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/saoirse-prendergast-6252,Saoirse Prendergast,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Sunniva Højgaard,sunniva hojgaard,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/sunniva-hojgaard-4894,Sunniva Højgaard,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Tomás Dobrescu,tomas dobrescu,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/tomas-dobrescu-3794,Tomás Dobrescu,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Tomás Ferreira,tomas ferreira,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/tomas-ferreira-1145,Tomás Ferreira,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
investor_advisor,investor_network.person,Wren Petrossian-Norrington,wren petrossian norrington,Silverbrook Capital,Venture capital investor,1,Kestrel Airlines,T6_unmatched,,,no_candidate,'Wren Petrossian-Norrington' has no identity in the export universe,
investor_advisor,investor_network.person,Xiomara Achterberg-Norrington,xiomara achterberg norrington,Northgate Growth,Growth equity investor,1,Quillon Pharma,T6_unmatched,,,no_candidate,'Xiomara Achterberg-Norrington' has no identity in the export universe,
investor_advisor,investor_network.person,Yusuf Vasquez,yusuf vasquez,,Operator (work history),1,,T3_name_plus_org,linkedin.com/in/yusuf-vasquez-3177,Yusuf Vasquez,name_exact_single_identity,name matches exactly one identity in the export universe; organization not corroborated,
requester,intro_requests.requested_by,Bertrand Vandermolen,bertrand vandermolen,Halyard Systems,"AE, EMEA",24,R1010,T6_unmatched,,,no_candidate,'Bertrand Vandermolen' has no identity in the export universe,
requester,intro_requests.requested_by,Curtis Hartigan,curtis hartigan,Halyard Systems,"AE, Financial Services",30,R1016,T6_unmatched,,,no_candidate,'Curtis Hartigan' has no identity in the export universe,
requester,intro_requests.requested_by,Hana Nakashima,hana nakashima,Halyard Systems,"AE, Healthcare",21,R1027,T5_fuzzy_candidate_review,,,fuzzy_name_only,near-identical name 'Dana Nakashima' (similarity 92.9); requires human review,Dana Nakashima|Pale Harbour Studio|https://www.linkedin.com/in/dana-nakashima-1859
requester,intro_requests.requested_by,Imani Mkhize,imani mkhize,Halyard Systems,"Enterprise AE, West",23,R1001,T6_unmatched,,,no_candidate,'Imani Mkhize' has no identity in the export universe,
requester,intro_requests.requested_by,Nadia Okonkwo,nadia okonkwo,Halyard Systems,"AE, Industrials",28,R1012,T6_unmatched,,,no_candidate,'Nadia Okonkwo' has no identity in the export universe,
requester,intro_requests.requested_by,Rafael Salcedo,rafael salcedo,Halyard Systems,"AE, Transport & Logistics",22,R1005,T6_unmatched,,,no_candidate,'Rafael Salcedo' has no identity in the export universe,
requester,intro_requests.requested_by,Sloane Fairweather,sloane fairweather,Halyard Systems,Strategic AE,21,R1025,T6_unmatched,,,no_candidate,'Sloane Fairweather' has no identity in the export universe,
requester,intro_requests.requested_by,Yusuf Petrossian,yusuf petrossian,Halyard Systems,SDR Lead,31,R1008,T6_unmatched,,,no_candidate,'Yusuf Petrossian' has no identity in the export universe,
roster_connector,connector_roster.name,Dana Whitfield,dana whitfield,Halyard Systems,Chief Revenue Officer,1,Internal,T6_unmatched,,,no_candidate,'Dana Whitfield' has no identity in the export universe,
roster_connector,connector_roster.name,Elena Duvall,elena duvall,Halyard Systems,"Advisor (former COO, industrial manufacturing)",1,Advisor,T6_unmatched,,,no_candidate,'Elena Duvall' has no identity in the export universe,
roster_connector,connector_roster.name,Marcus Aldridge,marcus aldridge,Halyard Systems,Advisor (former enterprise CIO),1,Advisor,T6_unmatched,,,no_candidate,'Marcus Aldridge' has no identity in the export universe,
roster_connector,connector_roster.name,Owen Trask,owen trask,Halyard Systems,Angel investor / advisor,1,Investor,T6_unmatched,,,no_candidate,'Owen Trask' has no identity in the export universe,
roster_connector,connector_roster.name,Priya Raghunathan,priya raghunathan,Halyard Systems,"Partner, Redtree Capital",1,Investor,T6_unmatched,,,no_candidate,'Priya Raghunathan' has no identity in the export universe,
roster_connector,connector_roster.name,Tomás Beckett,tomas beckett,Halyard Systems,VP Partnerships,1,Internal,T6_unmatched,,,no_candidate,'Tomás Beckett' has no identity in the export universe,
slack_participant,slack_threads.user,Bertrand Vandermolen,bertrand vandermolen,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Bertrand Vandermolen' has no identity in the export universe,
slack_participant,slack_threads.user,Curtis Hartigan,curtis hartigan,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Curtis Hartigan' has no identity in the export universe,
slack_participant,slack_threads.user,Dana Whitfield,dana whitfield,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Dana Whitfield' has no identity in the export universe,
slack_participant,slack_threads.user,Elena Duvall,elena duvall,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Elena Duvall' has no identity in the export universe,
slack_participant,slack_threads.user,Hana Nakashima,hana nakashima,Halyard Systems,,1,,T5_fuzzy_candidate_review,,,fuzzy_name_only,near-identical name 'Dana Nakashima' (similarity 92.9); requires human review,Dana Nakashima|Pale Harbour Studio|https://www.linkedin.com/in/dana-nakashima-1859
slack_participant,slack_threads.user,Imani Mkhize,imani mkhize,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Imani Mkhize' has no identity in the export universe,
slack_participant,slack_threads.user,Nadia Okonkwo,nadia okonkwo,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Nadia Okonkwo' has no identity in the export universe,
slack_participant,slack_threads.user,Owen Trask,owen trask,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Owen Trask' has no identity in the export universe,
slack_participant,slack_threads.user,Priya Raghunathan,priya raghunathan,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Priya Raghunathan' has no identity in the export universe,
slack_participant,slack_threads.user,Rafael Salcedo,rafael salcedo,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Rafael Salcedo' has no identity in the export universe,
slack_participant,slack_threads.user,Sloane Fairweather,sloane fairweather,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Sloane Fairweather' has no identity in the export universe,
slack_participant,slack_threads.user,Tomás Beckett,tomas beckett,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Tomás Beckett' has no identity in the export universe,
slack_participant,slack_threads.user,Yusuf Petrossian,yusuf petrossian,Halyard Systems,,1,,T6_unmatched,,,no_candidate,'Yusuf Petrossian' has no identity in the export universe,
target,intro_requests.target_person_raw,Amara Kettleborough-Højgaard,amara kettleborough hojgaard,Priorwood Chemicals,Head of Platform Engineering,1,R1174,T6_unmatched,,,no_candidate,'Amara Kettleborough-Højgaard' has no identity in the export universe,
target,intro_requests.target_person_raw,Anouk Norrington-Brenneman,anouk norrington brenneman,Silverbrook Paper,Chief Technology Officer,1,R1008,T6_unmatched,,,no_candidate,'Anouk Norrington-Brenneman' has no identity in the export universe,
target,intro_requests.target_person_raw,Arjun Lindqvist-Lomsadze,arjun lindqvist lomsadze,,Head of Developer Productivity,1,R1106,T6_unmatched,,,no_candidate,'Arjun Lindqvist-Lomsadze' has no identity in the export universe,
target,intro_requests.target_person_raw,Astrid Kirkbride-Norrington,astrid kirkbride norrington,Pemberton Retail,Head of Developer Productivity,1,R1061,T6_unmatched,,,no_candidate,'Astrid Kirkbride-Norrington' has no identity in the export universe,
target,intro_requests.target_person_raw,Astrid Quillane-Brenneman,astrid quillane brenneman,Volney Industrial Systems,VP Data & Analytics,1,R1002,T6_unmatched,,,no_candidate,'Astrid Quillane-Brenneman' has no identity in the export universe,
target,intro_requests.target_person_raw,Desmond Wexford-Norrington,desmond wexford norrington,Osric Networks,Director of Software Engineering,1,R1167,T6_unmatched,,,no_candidate,'Desmond Wexford-Norrington' has no identity in the export universe,
target,intro_requests.target_person_raw,Elena Bellinger-Havercamp,elena bellinger havercamp,,VP Engineering,1,R1056,T6_unmatched,,,no_candidate,'Elena Bellinger-Havercamp' has no identity in the export universe,
target,intro_requests.target_person_raw,Emeka Underhill-Zubkov,emeka underhill zubkov,Harrowgate Health,Chief Digital Officer,1,R1137,T6_unmatched,,,no_candidate,'Emeka Underhill-Zubkov' has no identity in the export universe,
target,intro_requests.target_person_raw,Espen Wolstenholme-Vandermolen,espen wolstenholme vandermolen,Apex Logistics Group,SVP Digital,1,R1069,T6_unmatched,,,no_candidate,'Espen Wolstenholme-Vandermolen' has no identity in the export universe,
target,intro_requests.target_person_raw,Freya Havercamp-Drummond,freya havercamp drummond,,VP Enterprise Architecture,1,R1119,T6_unmatched,,,no_candidate,'Freya Havercamp-Drummond' has no identity in the export universe,
target,intro_requests.target_person_raw,Freya Thackeray-Underhill,freya thackeray underhill,,Head of Developer Productivity,1,R1046,T6_unmatched,,,no_candidate,'Freya Thackeray-Underhill' has no identity in the export universe,
target,intro_requests.target_person_raw,Gideon Fontaine-Crowther,gideon fontaine crowther,Gravenhurst Motors,Director of Software Engineering,1,R1160,T6_unmatched,,,no_candidate,'Gideon Fontaine-Crowther' has no identity in the export universe,
target,intro_requests.target_person_raw,Hugo Norrington-Isenberg,hugo norrington isenberg,Larkhall Software,Chief Technology Officer,1,R1010,T6_unmatched,,,no_candidate,'Hugo Norrington-Isenberg' has no identity in the export universe,
target,intro_requests.target_person_raw,Ilse Oldfield-Dobrescu,ilse oldfield dobrescu,,Chief Digital Officer,1,R1135,T6_unmatched,,,no_candidate,'Ilse Oldfield-Dobrescu' has no identity in the export universe,
target,intro_requests.target_person_raw,Ilse Oyelaran-Zettergren,ilse oyelaran zettergren,,Head of Developer Productivity,1,R1012,T6_unmatched,,,no_candidate,'Ilse Oyelaran-Zettergren' has no identity in the export universe,
target,intro_requests.target_person_raw,Ilse Wolstenholme-Oyelaran,ilse wolstenholme oyelaran,Blackwood Industrial,Director of Software Engineering,1,R1130,T6_unmatched,,,no_candidate,'Ilse Wolstenholme-Oyelaran' has no identity in the export universe,
target,intro_requests.target_person_raw,Imani Kettleborough-Ibarra,imani kettleborough ibarra,Marlowe Freight Systems,VP Enterprise Architecture,1,R1045,T6_unmatched,,,no_candidate,'Imani Kettleborough-Ibarra' has no identity in the export universe,
target,intro_requests.target_person_raw,Imani Salcedo-Prendergast,imani salcedo prendergast,Gravenhurst Motors,Chief Data Officer,1,R1058,T6_unmatched,,,no_candidate,'Imani Salcedo-Prendergast' has no identity in the export universe,
target,intro_requests.target_person_raw,Leandro Okonkwo-Oldfield,leandro okonkwo oldfield,,SVP Digital,1,R1183,T6_unmatched,,,no_candidate,'Leandro Okonkwo-Oldfield' has no identity in the export universe,
target,intro_requests.target_person_raw,Malik Højgaard-Ferreira,malik hojgaard ferreira,Northwind Freight,Chief Digital Officer,1,R1161,T6_unmatched,,,no_candidate,'Malik Højgaard-Ferreira' has no identity in the export universe,
target,intro_requests.target_person_raw,Margot Rushworth-Fontaine,margot rushworth fontaine,Thistledown Energy,Chief Data Officer,1,R1064,T6_unmatched,,,no_candidate,'Margot Rushworth-Fontaine' has no identity in the export universe,
target,intro_requests.target_person_raw,Marisol Glückstein-Havercamp,marisol gluckstein havercamp,,Director of Software Engineering,1,R1164,T6_unmatched,,,no_candidate,'Marisol Glückstein-Havercamp' has no identity in the export universe,
target,intro_requests.target_person_raw,Matteo Petrossian-Lomsadze,matteo petrossian lomsadze,,Director of Software Engineering,1,R1085,T6_unmatched,,,no_candidate,'Matteo Petrossian-Lomsadze' has no identity in the export universe,
target,intro_requests.target_person_raw,Mei Mkhize-Prendergast,mei mkhize prendergast,Glasspoint Health,Chief Information Officer,1,R1025,T6_unmatched,,,no_candidate,'Mei Mkhize-Prendergast' has no identity in the export universe,
target,intro_requests.target_person_raw,Mei Sandoval-Kettleborough,mei sandoval kettleborough,Gravenhurst Motors,VP Engineering,1,R1108,T6_unmatched,,,no_candidate,'Mei Sandoval-Kettleborough' has no identity in the export universe,
target,intro_requests.target_person_raw,Nadia Bellinger-Ingleby,nadia bellinger ingleby,Copperline Water,VP Engineering,1,R1151,T6_unmatched,,,no_candidate,'Nadia Bellinger-Ingleby' has no identity in the export universe,
target,intro_requests.target_person_raw,Nadia Mkhize-Ferreira,nadia mkhize ferreira,,VP Engineering,1,R1112,T6_unmatched,,,no_candidate,'Nadia Mkhize-Ferreira' has no identity in the export universe,
target,intro_requests.target_person_raw,Niall Jarrold-Norrington,niall jarrold norrington,Vireo Systems,VP Engineering,1,R1155,T6_unmatched,,,no_candidate,'Niall Jarrold-Norrington' has no identity in the export universe,
target,intro_requests.target_person_raw,Noor Isenberg-Dobrescu,noor isenberg dobrescu,Meridian Peak Foods,VP Engineering,1,R1172,T6_unmatched,,,no_candidate,'Noor Isenberg-Dobrescu' has no identity in the export universe,
target,intro_requests.target_person_raw,Noor Isenberg-Havercamp,noor isenberg havercamp,,Chief Digital Officer,1,R1055,T6_unmatched,,,no_candidate,'Noor Isenberg-Havercamp' has no identity in the export universe,
target,intro_requests.target_person_raw,Otto Ashdown-Fairweather,otto ashdown fairweather,Vireo Systems,Head of Developer Productivity,1,R1017,T5_fuzzy_candidate_review,,,fuzzy_name_only,near-identical name 'Odette Ashdown-Fairweather' (similarity 92.0); requires human review,Odette Ashdown-Fairweather|Garrowby Books|https://www.linkedin.com/in/odette-ashdown-fairweather-3958
target,intro_requests.target_person_raw,Perrine Hartigan-Thackeray,perrine hartigan thackeray,,VP Engineering,1,R1083,T6_unmatched,,,no_candidate,'Perrine Hartigan-Thackeray' has no identity in the export universe,
target,intro_requests.target_person_raw,Perrine Salcedo-Oyelaran,perrine salcedo oyelaran,Vantage Ridge Utilities,Chief Operating Officer,1,R1001,T6_unmatched,,,no_candidate,'Perrine Salcedo-Oyelaran' has no identity in the export universe,
target,intro_requests.target_person_raw,Priya Oyelaran-Havercamp,priya oyelaran havercamp,Northwind Freight,Chief Technology Officer,1,R1100,T6_unmatched,,,no_candidate,'Priya Oyelaran-Havercamp' has no identity in the export universe,
target,intro_requests.target_person_raw,Rafael Kirkbride-Ibarra,rafael kirkbride ibarra,,Chief Information Officer,1,R1020,T6_unmatched,,,no_candidate,'Rafael Kirkbride-Ibarra' has no identity in the export universe,
target,intro_requests.target_person_raw,Rafael Nakashima-Zettergren,rafael nakashima zettergren,Ashgrove Agriculture,Chief Digital Officer,1,R1187,T6_unmatched,,,no_candidate,'Rafael Nakashima-Zettergren' has no identity in the export universe,
target,intro_requests.target_person_raw,Rosalind Isenberg-Prendergast,rosalind isenberg prendergast,,Chief Technology Officer,1,R1110,T6_unmatched,,,no_candidate,'Rosalind Isenberg-Prendergast' has no identity in the export universe,
target,intro_requests.target_person_raw,Sabine Zettergren-Ashdown,sabine zettergren ashdown,,Chief Operating Officer,1,R1181,T6_unmatched,,,no_candidate,'Sabine Zettergren-Ashdown' has no identity in the export universe,
target,intro_requests.target_person_raw,Saoirse Halloran-Crowther,saoirse halloran crowther,Ironvale Steel,VP Enterprise Architecture,1,R1089,T6_unmatched,,,no_candidate,'Saoirse Halloran-Crowther' has no identity in the export universe,
target,intro_requests.target_person_raw,Silas Mkhize-Thackeray,silas mkhize thackeray,Marchford Clinics,Head of Developer Productivity,1,R1004,T6_unmatched,,,no_candidate,'Silas Mkhize-Thackeray' has no identity in the export universe,
target,intro_requests.target_person_raw,Sloane Ingleby-Prendergast,sloane ingleby prendergast,Sablefield Motors,SVP Digital,1,R1117,T6_unmatched,,,no_candidate,'Sloane Ingleby-Prendergast' has no identity in the export universe,
target,intro_requests.target_person_raw,Solveig Dobrescu-Mkhize,solveig dobrescu mkhize,,VP Engineering,1,R1051,T6_unmatched,,,no_candidate,'Solveig Dobrescu-Mkhize' has no identity in the export universe,
target,intro_requests.target_person_raw,Tanvi Prendergast-Falkenrath,tanvi prendergast falkenrath,Kingsmere Retail Group,VP Enterprise Architecture,1,R1171,T6_unmatched,,,no_candidate,'Tanvi Prendergast-Falkenrath' has no identity in the export universe,
target,intro_requests.target_person_raw,Wren Kettleborough-Jarrold,wren kettleborough jarrold,Thornbury Financial,Chief Information Officer,1,R1105,T6_unmatched,,,no_candidate,'Wren Kettleborough-Jarrold' has no identity in the export universe,
target,intro_requests.target_person_raw,Yusuf Sandoval-Drummond,yusuf sandoval drummond,,Chief Digital Officer,1,R1095,T6_unmatched,,,no_candidate,'Yusuf Sandoval-Drummond' has no identity in the export universe,
target,intro_requests.target_person_raw,Zaid Falkenrath-Lomsadze,zaid falkenrath lomsadze,,SVP Digital,1,R1145,T6_unmatched,,,no_candidate,'Zaid Falkenrath-Lomsadze' has no identity in the export universe,
